rtt,thput,total_time,total_data
1.023497,480235897.125248,4155999,491520000
1.156818,424889654.206625,4576000,491520000
1.039090,473029285.239970,4224000,491520000
1.111929,442042612.432988,4480000,491520000
2.181501,225312754.841735,6552000,491520000
2.185009,224951018.508391,6556000,491520000
1.336414,367790220.695084,5036000,491520000
1.058051,464552275.835475,4275999,491520000
1.160827,423422267.056159,4724000,491520000
1.494937,328789775.087512,5476000,491520000
1.212185,405482661.474940,4820000,491520000
1.077174,456305109.480919,4408000,491520000
1.478154,332522862.976388,5004000,491520000
1.083045,453831558.245502,4348000,491520000
1.073592,457827554.601748,4268000,491520000
1.059032,464121952.877722,4307999,491520000
