rtt,thput,total_time,total_data
0.003218,152740832815.413300,13976000,491520000
0.004548,108073878627.968338,12472000,491520000
0.004581,107295350360.183365,12511999,491520000
0.004526,108599204595.669479,12452000,491520000
0.004517,108815585565.640915,12456000,491520000
0.004546,108121425428.948532,12560000,491520000
0.003280,149853658536.585358,14035999,491520000
0.004538,108312031732.040543,12492000,491520000
0.004524,108647214854.111404,12500000,491520000
0.004556,107884108867.427567,12420000,491520000
0.004549,108050120905.693558,12407999,491520000
0.004528,108551236749.116608,12528000,491520000
0.004513,108912031907.821854,12432000,491520000
0.004544,108169014084.507034,12544000,491520000
0.004530,108503311258.278137,12364000,491520000
0.004562,107742218325.295914,12460000,491520000
