rtt,thput,total_time,total_data
4.334400,283499.446290,17080000,1228800
4.295272,209793.465932,17016000,901120
4.934285,232430.838511,17252000,1146880
5.254571,218263.298755,17496000,1146880
6.338526,245558.667741,18256000,1556480
8.894600,184201.650440,18536000,1638400
7.505636,240118.225824,18828000,1802240
6.692470,208090.585389,18768000,1392640
4.495529,309783.342517,18752000,1392640
15.925714,36007.176821,17864000,573440
6.448250,203267.553212,19024000,1310720
5.116705,272175.159600,18900000,1392640
7.234315,215152.367570,18908000,1556480
4.591000,285497.712917,19264000,1310720
8.691304,216786.802073,19100000,1884160
10.563600,155098.640615,19120000,1638400
6.007200,272739.379411,19284000,1638400
6.767478,278413.908401,19456000,1884160
4.254352,327344.798926,19408000,1392640
8.714923,244399.175988,19300000,2129920
7.984769,266747.854572,19428000,2129920
7.224444,306160.584815,19516000,2211840
7.333600,223410.057816,19384000,1638400
6.382857,269521.939783,19324000,1720320
7.188833,273490.843368,19508000,1966080
6.930400,295509.638693,19752000,2048000
5.818909,309721.289678,19764000,1802240
4.688235,297049.955900,19532000,1392640
7.468347,252286.081512,19492000,1884160
8.544285,268455.464676,19652000,2293760
7.246444,203487.393265,19860000,1474560
6.457142,266421.274304,19796000,1720320
7.824923,272196.927689,19884000,2129920
6.579400,249019.667447,20144000,1638400
9.025428,254144.180198,20100000,2293760
7.281636,247504.818972,20136000,1802240
7.147333,206309.122578,20032000,1474560
8.406933,292330.151793,20320000,2457600
8.786074,251743.839171,20108000,2211840
16.269714,35245.856196,19120000,573440
8.902424,303665.608378,20476000,2703360
10.234424,264143.834572,20516000,2703360
9.795612,259250.774735,20436000,2539520
10.457764,266336.092495,20304000,2785280
9.198486,329515.096289,20728000,3031040
7.051833,278804.106677,20600000,1966080
10.240969,263975.020333,20480000,2703360
7.999368,194575.371454,20396000,1556480
11.164875,234793.492986,20320000,2621440
9.297058,299587.245772,20744000,2785280
8.986518,246128.700794,20684000,2211840
10.552727,256176.436669,20624000,2703360
5.450285,210425.693335,20472000,1146880
11.277290,225188.852996,20396000,2539520
10.873945,278743.363149,20648000,3031040
10.941485,262048.524492,20540000,2867200
14.211307,599500.102278,24716000,8519680
14.350160,570864.715097,24748000,8192000
14.486807,588099.227111,24716000,8519680
14.718257,562153.521304,24692000,8273920
14.940000,455111.111111,24584000,6799360
14.707168,562577.377235,24660000,8273920
14.999919,540674.919645,24636000,8110080
7.998800,204830.724609,24532000,1638400
15.199232,533584.854814,24572000,8110080
11.373371,252097.641060,24488000,2867200
7.810666,188787.998360,24492000,1474560
15.572851,494481.068367,24624000,7700480
15.171797,534549.730661,24548000,8110080
17.049692,499697.003324,23684000,8519680
1.355399,1208795.343659,13599999,1638400
2.384235,584103.496509,14923999,1392640
5.946768,179082.150170,15491999,1064960
2.881999,739042.588148,15887999,2129920
3.116159,657219.352414,15911999,2048000
4.524444,325909.658734,15703999,1474560
2.511636,717556.206393,16239999,1802240
4.247333,462897.540645,16139999,1966080
9.246749,141749.278584,15335999,1310720
6.896332,142545.341495,15531999,983040
4.339407,509710.197730,16827999,2211840
4.833279,423728.901228,16659999,2048000
5.539090,325367.524268,16547999,1802240
5.979538,356201.432285,16743999,2129920
5.332799,384038.475855,16879999,2048000
5.151666,381639.648223,16907999,1966080
5.691428,503775.150981,17303999,2867200
4.606307,462392.107170,17051999,2129920
6.213817,145018.754173,16239999,901120
4.630962,477619.984789,17307999,2211840
5.056908,356391.692315,17175999,1802240
4.352740,508148.890124,17399999,2211840
8.485473,183428.784701,16595999,1556480
6.797240,349506.564429,17383999,2375680
6.693058,416144.608339,17519999,2785280
8.248532,148971.962526,16907999,1228800
3.760639,544588.300020,17891999,2048000
7.969181,452302.438607,18147999,3604480
7.212352,386181.927893,17835999,2785280
5.087454,354251.851712,17811999,1802240
7.493942,382602.374024,18123999,2867200
8.113683,383667.934771,18019999,3112960
6.517332,414795.502209,17915999,2703360
10.135537,210143.774326,17159999,2129920
7.227099,453404.609512,18307999,3276800
3.422587,406896.888231,18227999,1392640
6.865666,429546.092105,18267999,2949120
12.935918,626942.749637,26247999,8110080
13.165210,472907.002623,26155999,6225920
13.207950,502388.334299,26159999,6635520
12.783519,640825.112397,26359999,8192000
12.707772,567287.483597,26235999,7208960
6.069792,391393.971985,26255999,2375680
13.123915,592993.782724,26303999,7782400
13.246329,636988.557358,26315999,8437760
13.170366,609562.406998,26383999,8028160
13.734904,501006.778060,26251999,6881280
13.274256,623305.743086,26355999,8273920
13.681301,514945.179556,26319999,7045120
13.667529,509470.292692,26327999,6963200
13.811086,545694.958383,26327999,7536640
13.817777,480216.173701,26319999,6635520
14.884051,423798.601604,26323999,6307840
13.854211,502605.308956,26319999,6963200
14.157285,486059.297386,26327999,6881280
13.305199,554129.254286,26311999,7372800
13.278532,555242.100558,26315999,7372800
5.361279,381998.400009,26323999,2048000
14.186094,485072.212266,26319999,6881280
14.052376,495517.626343,26319999,6963200
13.894537,548313.340704,26319999,7618560
13.804932,534069.997592,26315999,7372800
13.296919,535991.833898,26311999,7127040
13.663844,617524.614596,26331999,8437760
13.930325,505739.815833,26311999,7045120
13.658509,611768.092696,26303999,8355840
14.053516,507135.723188,26319999,7127040
14.629399,447974.657059,26311999,6553600
14.115653,470082.397180,26311999,6635520
15.245384,558836.694438,25619999,8519680
