rtt,thput,total_time,total_data
38.411999,2132.666930,38411999,81920
31.747999,15481.920609,39139999,491520
19.354999,16929.993125,39423999,327680
25.011499,52404.695936,40527999,1310720
23.009713,24921.649392,41763999,573440
30.582284,37501.450186,41483999,1146880
40.105999,4085.174390,41319999,163840
26.081411,53395.884141,42807999,1392640
21.841537,48758.473362,44195999,1064960
22.420532,54806.906455,44819999,1228800
36.026887,40929.431399,44519999,1474560
41.230284,13908.223383,43899999,573440
41.132443,17924.537086,44523999,737280
58.274768,73099.218516,75991998,4259840
56.907718,82052.842112,75995998,4669440
58.112829,74712.590571,75975998,4341760
57.041262,81860.741440,75979998,4669440
54.279861,87534.490923,77479998,4751360
50.176513,114284.545839,77475998,5734400
50.237193,109254.511891,77483998,5488640
50.748544,106539.411259,77443998,5406720
58.245186,90013.962699,78227998,5242880
58.244436,90015.121788,78215998,5242880
53.158519,112496.738293,79695998,5980160
44.364221,33237.594773,79699998,1474560
51.934232,121458.232019,79703998,6307840
55.201561,94977.024291,79659998,5242880
48.387998,22008.763413,79655998,1064960
54.572881,102075.607846,79647998,5570560
58.377906,91212.589914,78603998,5324800
58.089029,93076.439615,78599998,5406720
56.356678,145359.880865,85283998,8192000
56.705582,138686.875659,85255998,7864320
55.065979,153230.000687,85435998,8437760
61.728776,47775.449168,85459998,2949120
56.635998,128732.259649,85455998,7290880
58.670248,134042.726392,85395998,7864320
55.573276,106134.466501,85455998,5898240
59.841185,124575.073171,85455998,7454720
57.940529,138558.624482,85443998,8028160
57.332316,125739.905571,85427998,7208960
55.677633,136833.403101,85463998,7618560
55.372798,59177.071023,85411998,3276800
55.867048,148100.182419,85675998,8273920
55.076609,87755.584226,85591998,4833280
56.107740,135784.474655,85579998,7618560
51.429075,124244.116776,85587998,6389760
53.858856,117117.972205,85547998,6307840
62.730362,114919.789559,85571998,7208960
60.604858,125708.734438,85571998,7618560
57.359109,141391.317637,85575998,8110080
58.027957,135526.398077,85579998,7864320
58.180988,136577.948797,85583998,7946240
57.570225,138026.905401,85575998,7946240
58.417135,133221.185873,85567998,7782400
58.514720,135798.992117,85579998,7946240
57.775472,53880.304085,85575998,3112960
56.180665,69991.339547,85575998,3932160
58.689218,114457.820856,85567998,6717440
56.706406,148797.298139,85735998,8437760
51.532201,125585.165671,85679998,6471680
51.884050,123154.611099,85675998,6389760
57.174729,149011.287837,85651998,8519680
60.059198,136398.757772,85667998,8192000
57.540421,148064.262512,85795998,8519680
60.916077,137169.699881,85787998,8355840
59.749383,142590.259049,85871998,8519680
61.000743,136979.315154,85911998,8355840
61.506844,138515.967426,85935998,8519680
65.028273,128495.493030,85947998,8355840
65.101606,128350.750671,85871998,8355840
64.872806,131328.988606,86071998,8519680
65.173241,129466.631865,86039998,8437760
65.417959,127730.062627,86039998,8355840
64.925613,131222.172673,86043998,8519680
64.928652,131216.030790,86039998,8519680
64.830949,130150.184906,86015998,8437760
65.812625,126964.089337,86075998,8355840
65.801383,129475.698102,86091998,8519680
66.236152,128625.829592,86139998,8519680
66.674806,127779.599389,86195998,8519680
67.112921,126945.450638,86247998,8519680
67.544421,126134.473786,86299998,8519680
67.963229,125357.198670,86343998,8519680
68.382113,124589.305978,86387998,8519680
68.776959,123874.043341,86411998,8519680
69.176729,123158.179393,86447998,8519680
69.570767,122460.630627,86483998,8519680
69.964229,121771.941487,86523998,8519680
70.324575,121147.977076,86539998,8519680
70.700882,120503.164303,86579998,8519680
71.074613,119869.523595,86579998,8519680
71.436190,119262.799430,86619998,8519680
71.795652,118665.681872,86623998,8519680
72.082328,117057.262634,86623998,8437760
72.361901,116605.007378,86559998,8437760
72.677396,116098.821152,86579998,8437760
71.993998,118338.753739,84575998,8519680
73.278782,114028.096155,86623998,8355840
73.094289,115436.651966,86711998,8437760
3.600705,386768.702240,30107999,1392640
3.236199,506272.945514,31259999,1638400
3.588399,456582.448050,31187999,1638400
18.075199,22660.884674,30267999,409600
4.947999,314567.565596,31707999,1556480
7.114352,195750.786579,31311999,1392640
6.475999,63248.928853,31379999,409600
18.895499,34683.392061,31499999,655360
8.840615,240924.415326,33819999,2129920
7.711839,265565.710073,33863999,2048000
7.825333,219839.845793,33823999,1720320
6.263249,209271.577739,33527999,1310720
18.204570,31499.782747,33095999,573440
26.412999,24812.025321,33127999,655360
19.484363,46248.368499,33647999,901120
22.079029,122440.167092,42819999,2703360
23.927713,95862.065882,42831999,2293760
22.516374,116423.719023,42847999,2621440
24.851861,95593.645884,42851999,2375680
21.499058,129553.583231,42851999,2785280
21.576822,129086.665312,42843999,2785280
24.362570,94150.986534,42855999,2293760
22.346838,113641.133479,42859999,2539520
21.927411,127022.747920,42867999,2785280
29.760347,63311.089753,42255999,1884160
28.857216,65292.507773,42259999,1884160
28.784319,71149.850723,42267999,2048000
32.654362,55191.401382,42275999,1802240
28.970879,70691.676286,42279999,2048000
30.087332,65345.774095,42283999,1966080
29.045390,64869.502527,42287999,1884160
29.092159,70396.975350,42287999,2048000
29.163665,67415.395150,42279999,1966080
29.329564,64240.982239,42287999,1884160
31.563999,57097.961510,42311999,1802240
29.401499,66870.059924,42299999,1966080
32.886180,54802.351626,42307999,1802240
30.133665,65245.299568,42291999,1966080
29.451519,69538.009228,42295999,2048000
32.053216,58782.245126,42319999,1884160
29.516319,69385.345781,42323999,2048000
29.522559,69370.680231,42331999,2048000
30.775499,63884.585592,42339999,1966080
31.752761,54178.595682,42343999,1720320
30.478665,64506.762353,42347999,1966080
31.550259,59719.319578,42347999,1884160
30.620868,61531.893871,42351999,1884160
30.705332,64030.572931,42347999,1966080
33.222665,51781.517226,42355999,1720320
31.007999,60763.675850,42355999,1884160
31.219477,60352.068038,42351999,1884160
33.216189,51791.612819,42351999,1720320
31.888180,56517.493316,42343999,1802240
31.776346,59294.419818,42355999,1884160
33.225522,51777.064631,42359999,1720320
32.081903,53622.754236,42359999,1720320
33.069817,54498.033660,42367999,1802240
31.862781,59133.570293,42371999,1884160
31.916173,59034.646792,42375999,1884160
32.342259,58256.907781,42363999,1884160
33.756209,46109.443155,42367999,1556480
32.397216,58158.083707,42371999,1884160
32.659303,57691.372042,42375999,1884160
33.463999,48960.077963,42383999,1638400
18.509999,185880.074872,43839999,3440640
17.438053,173817.570115,43835999,3031040
18.741025,170475.200796,43835999,3194880
19.240499,170307.433295,43795999,3276800
20.105599,142607.041949,43783999,2867200
18.521578,168072.072477,43855999,3112960
19.019134,159367.929160,43835999,3031040
18.580736,167536.958708,43843999,3112960
17.885683,174047.588789,43843999,3112960
19.570110,150695.116175,43791999,2949120
19.494999,168084.132756,43791999,3276800
20.028717,159514.960444,43799999,3194880
32.742691,260200.971264,51963999,8519680
34.252524,236773.208304,52027999,8110080
34.522533,239667.234151,52159999,8273920
33.948853,248543.301301,52011999,8437760
34.100499,249840.332249,52139999,8519680
34.843345,244513.837578,52071999,8519680
35.460499,240258.322366,52011999,8519680
35.881646,232872.260096,52075999,8355840
40.476395,204413.461228,51867999,8273920
39.903183,211455.812936,51871999,8437760
39.546191,215436.171843,51915999,8519680
39.721922,214483.075618,51863999,8519680
39.771845,214213.849018,51867999,8519680
27.297999,12003.810243,51747999,327680
28.819999,17054.823631,51755999,491520
33.989216,55434.052966,51755999,1884160
34.852951,49359.378493,51759999,1720320
34.550259,54533.889312,51759999,1884160
40.425397,208724.233432,51911999,8437760
40.726979,205167.193963,51879999,8355840
34.097912,55257.342444,51751999,1884160
34.760172,54204.564926,51767999,1884160
34.860694,54048.264214,51763999,1884160
40.999499,207799.612381,51831999,8519680
