rtt,thput,total_time,total_data
1.097600,1865889.212828,13824000,2048000
0.955250,1372122.481026,12876000,1310720
0.972533,2527009.366263,13988000,2457600
3.443720,1022893.847351,17944000,3522560
2.494918,1214885.619487,17960000,3031040
6.318909,427820.688666,17232000,2703360
5.605886,774500.230650,18732000,4341760
3.173846,671084.860450,18524000,2129920
5.816377,746471.557810,18820000,4341760
3.485925,634505.905893,18744000,2211840
5.292533,464352.324303,18704000,2457600
6.416000,255361.596010,17992000,1638400
5.828720,702727.185385,19044000,4096000
7.686461,415650.323341,18172000,3194880
11.836673,615956.865582,29199999,7290880
11.733465,705155.723395,29207999,8273920
12.119786,635364.353793,29323999,7700480
11.828329,588688.393771,29327999,6963200
11.658076,730796.402425,29363999,8519680
11.787049,701950.080974,29331999,8273920
12.477976,558039.220463,29327999,6963200
12.212472,623834.388320,29319999,7618560
12.107034,588669.363611,29331999,7127040
3.593658,934624.274208,29327999,3358720
12.097531,636533.190120,29327999,7700480
11.598062,671008.656446,29307999,7782400
12.202195,684781.713454,29355999,8355840
12.605181,571904.520847,29387999,7208960
12.282590,586925.070364,29383999,7208960
11.880474,696430.125599,29383999,8273920
11.923581,590856.052389,29379999,7045120
11.859999,649281.673633,29371999,7700480
12.289521,613257.424760,29383999,7536640
11.866585,683438.411304,29371999,8110080
12.433564,606152.829551,29391999,7536640
12.098951,697395.997389,29411999,8437760
12.011819,606975.513034,29347999,7290880
12.244276,675737.789641,29335999,8273920
13.478863,492290.781500,29243999,6635520
14.038877,478488.414707,28499999,6717440
13.953023,481432.589913,28495999,6717440
14.093761,488250.084559,28415999,6881280
13.278079,462717.536174,29443999,6144000
1.902303,1421098.531622,29427999,2703360
12.343191,657048.894407,29383999,8110080
13.348597,533916.785412,29383999,7127040
12.585087,670457.025843,29415999,8437760
6.401333,652664.062313,29411999,4177920
3.294758,721048.404769,29407999,2375680
12.522599,654177.299776,29435999,8192000
12.879510,572444.138015,29443999,7372800
13.024040,616410.883259,29447999,8028160
12.763090,564828.736615,29387999,7208960
12.670890,652986.491083,29515999,8273920
13.745809,500609.312991,29399999,6881280
13.199276,583401.695669,29383999,7700480
12.817285,536875.009021,29419999,6881280
12.738455,649523.038704,29427999,8273920
13.420908,537143.984595,29427999,7208960
5.875348,599549.167130,29423999,3522560
13.114679,624643.576865,29459999,8192000
13.032679,628573.756785,29423999,8192000
12.804621,658962.104384,29395999,8437760
12.782344,557569.096873,29395999,7127040
11.037199,371108.648127,28879999,4096000
15.518944,480362.581372,28999999,7454720
15.633957,503028.120136,28999999,7864320
14.523303,389200.721076,28939999,5652480
15.688489,511722.958151,28939999,8028160
15.494999,444096.834082,28943999,6881280
15.851914,485776.039411,28995999,7700480
15.564167,500020.335171,28999999,7782400
14.652807,581436.717211,29007999,8519680
15.606226,461928.463679,28999999,7208960
10.797439,379349.214198,28943999,4096000
15.736590,458101.786982,28923999,7208960
14.186599,461957.090632,28883999,6553600
14.804077,564428.299042,28955999,8355840
15.221813,522029.800261,28915999,7946240
15.038961,566507.220811,28971999,8519680
10.484000,70324.303701,20592000,737280
8.438000,97084.617208,22952000,819200
5.185142,331778.763243,23412000,1720320
5.315000,246607.714017,24088000,1310720
10.779724,220384.121152,24660000,2375680
11.048689,215019.175578,24616000,2375680
12.166666,181795.078455,24896000,2211840
12.279612,206807.837251,24896000,2539520
8.758200,187070.402594,25224000,1638400
16.308190,105488.101377,24308000,1720320
10.951684,284244.870469,25748000,3112960
11.411176,244083.519525,25716000,2785280
9.674896,245550.959928,25688000,2375680
12.180117,228674.322258,25648000,2785280
10.129043,186015.598907,25668000,1884160
10.501000,249637.177412,26088000,2621440
11.087764,251203.037871,26012000,2785280
11.092521,169858.592109,26000000,1884160
11.247384,189370.257119,25888000,2129920
10.589600,154717.836368,25896000,1638400
8.444740,261919.253879,26368000,2211840
8.507000,192594.334078,26376000,1638400
7.185894,216602.137465,26388000,1556480
9.948695,189387.653356,26368000,1884160
9.919407,222981.071348,26404000,2211840
10.497939,257513.403345,26384000,2703360
13.432727,201251.763696,26332000,2703360
10.731200,152676.308335,26248000,1638400
12.325793,192740.540102,26256000,2375680
13.533090,133172.837837,26268000,1802240
10.696888,137849.438080,26272000,1474560
10.001166,196585.078180,26276000,1966080
10.463176,266198.332132,26764000,2785280
11.943411,233206.409794,26732000,2785280
7.818736,199070.540302,26676000,1556480
12.098162,250537.230366,26696000,3031040
12.659555,174717.041792,26704000,2211840
11.098800,221429.343713,26700000,2457600
10.281142,223103.620201,26716000,2293760
11.122526,139939.434621,26752000,1556480
9.501538,224165.813998,26728000,2129920
11.487047,149761.727274,26768000,1720320
11.427666,172045.630315,26792000,1966080
6.018800,272213.730312,26832000,1638400
12.007757,225134.469327,26840000,2703360
12.643733,194372.975133,26784000,2457600
11.434074,193442.862098,26852000,2211840
12.323428,232662.535132,27168000,2867200
10.927857,209900.257663,27208000,2293760
13.090777,225282.273161,27244000,2949120
7.868160,260289.572149,27380000,2048000
13.485548,188314.186416,27196000,2539520
13.424914,213573.062740,27120000,2867200
11.130560,183997.930023,27444000,2048000
11.670941,238650.850861,27392000,2785280
12.879885,222610.683248,27344000,2867200
12.659310,187662.676718,27448000,2375680
20.314576,419387.537303,35327999,8519680
20.974666,398377.738172,35391999,8355840
21.056388,400722.099156,35427999,8437760
21.913021,351411.154126,35347999,7700480
22.793743,280329.562372,35351999,6389760
21.231572,397415.697717,35515999,8437760
22.138409,307129.568344,35379999,6799360
10.907034,217811.735069,35379999,2375680
21.461737,377885.536478,35475999,8110080
22.369755,300291.174400,35199999,6717440
22.186651,328615.616661,35383999,7290880
22.077404,348794.631833,35371999,7700480
21.793032,349586.968899,35363999,7618560
7.198444,204844.269123,35403999,1474560
21.617224,371377.934558,35467999,8028160
22.377788,311165.696985,35419999,6963200
21.830285,367753.329835,35403999,8028160
22.689860,310496.406765,35407999,7045120
21.951153,388119.931559,35347999,8519680
21.509293,388475.809038,35463999,8355840
21.906454,329079.274994,35399999,7208960
22.078195,378465.721496,35311999,8355840
24.229422,351625.391642,34707999,8519680
