rtt,thput,total_time,total_data
0.009846,865293520.211253,7932000,8519680
0.013230,643966742.252457,7900000,8519680
0.014038,606901267.986893,7976000,8519680
0.015346,555172683.435423,7948000,8519680
0.014230,598712579.058327,7976000,8519680
0.011692,728676017.789942,7928000,8519680
0.014961,569459260.744603,7928000,8519680
0.012884,661260478.112387,8004000,8519680
0.013692,622237803.096699,7952000,8519680
0.013115,649613419.748380,7960000,8519680
0.011576,735977885.279889,7936000,8519680
0.013846,615317059.078434,7964000,8519680
0.013461,632915830.918951,7976000,8519680
0.011269,756028041.529861,7936000,8519680
0.011692,728676017.789942,7952000,8519680
0.011153,763891329.687080,7924000,8519680
0.011153,763891329.687080,8000000,8519680
0.010769,791130095.644907,7960000,8519680
0.011884,716903399.528778,7960000,8519680
0.010961,777272146.701943,7980000,8519680
0.012923,659264876.576646,8012000,8519680
0.010423,817392305.478269,8000000,8519680
0.012615,675361078.081649,8000000,8519680
0.010423,817392305.478269,7988000,8519680
0.007576,1124561774.023231,7924000,8519680
0.007692,1107602704.108164,7960000,8519680
0.006961,1223916104.008045,7932000,8519680
0.007076,1204024872.809497,7956000,8519680
0.006769,1258631998.818141,7916000,8519680
0.009769,872113829.460538,7932000,8519680
0.009846,865293520.211253,7940000,8519680
0.009269,919158485.273492,7964000,8519680
0.009538,893235479.136087,7944000,8519680
0.006961,1223916104.008045,7968000,8519680
0.008038,1059925354.565812,7992000,8519680
0.007192,1184605116.796441,7952000,8519680
0.006230,1367524879.614767,7928000,8519680
0.007500,1135957333.333333,7964000,8519680
0.005076,1678423955.870764,7968000,8519680
0.005730,1486855148.342059,7968000,8519680
0.006769,1258631998.818141,7980000,8519680
0.008384,1016183206.106870,7920000,8519680
0.006730,1265925705.794948,7916000,8519680
0.007615,1118802363.755745,7916000,8519680
0.006461,1318631790.744467,7896000,8519680
0.008884,958991445.294912,7964000,8519680
0.006576,1295571776.155718,7952000,8519680
0.006115,1393242845.461979,7988000,8519680
0.007423,1147740805.604203,7960000,8519680
0.006653,1280577183.225612,7944000,8519680
0.006346,1342527576.426095,7956000,8519680
0.006846,1244475606.193398,7956000,8519680
0.007076,1204024872.809497,7968000,8519680
0.005153,1653343683.291287,7944000,8519680
0.008000,1064960000.000000,7940000,8519680
0.006307,1350829237.355319,7960000,8519680
0.006115,1393242845.461979,7972000,8519680
0.008192,1040000000.000000,7952000,8519680
0.006115,1393242845.461979,7984000,8519680
0.008076,1054938088.162457,8004000,8519680
0.008269,1030315636.715443,7964000,8519680
0.012461,683707567.610946,7956000,8519680
0.011423,745835594.852491,7928000,8519680
0.009961,855303684.369039,7956000,8519680
0.008730,975908361.970218,7964000,8519680
0.010153,839129321.382842,7928000,8519680
0.010923,779976197.015472,7924000,8519680
0.010884,782771040.058802,7928000,8519680
0.010692,796827534.605312,7924000,8519680
0.008961,950751032.250865,7984000,8519680
0.009153,930807385.556648,7956000,8519680
0.010884,782771040.058802,7920000,8519680
0.008961,950751032.250865,7984000,8519680
0.010076,845541881.699087,7980000,8519680
0.009000,946631111.111111,7968000,8519680
0.010269,829650404.128932,7956000,8519680
0.008730,975908361.970218,7992000,8519680
0.008076,1054938088.162457,8008000,8519680
0.008230,1035198055.893074,7916000,8519680
0.009423,904136686.830096,8012000,8519680
0.008769,971568023.719922,7968000,8519680
0.009500,896808421.052632,8016000,8519680
0.008923,954799955.172027,7960000,8519680
0.009923,858579058.752393,7964000,8519680
0.009884,861966815.054634,7944000,8519680
0.009076,938704275.011018,7932000,8519680
0.008615,988935577.481138,7968000,8519680
0.009192,926858137.510879,7968000,8519680
0.008730,975908361.970218,7952000,8519680
0.011653,731114734.403158,7932000,8519680
0.009307,915405608.681638,8004000,8519680
0.009038,942651028.988714,7964000,8519680
0.009730,875609455.292908,8052000,8519680
0.009807,868734577.342714,7964000,8519680
0.008423,1011478095.690372,7972000,8519680
0.009269,919158485.273492,7968000,8519680
0.010500,811398095.238095,7980000,8519680
0.008115,1049868145.409735,7968000,8519680
0.007923,1075309857.377256,7984000,8519680
0.007692,1107602704.108164,7964000,8519680
0.006769,1258631998.818141,7932000,8519680
0.007038,1210525717.533390,7932000,8519680
0.007038,1210525717.533390,7924000,8519680
0.006384,1334536340.852130,7976000,8519680
0.008076,1054938088.162457,7920000,8519680
0.007807,1091287306.263610,7912000,8519680
0.005461,1560095220.655558,7928000,8519680
0.006346,1342527576.426095,7964000,8519680
0.007576,1124561774.023231,7948000,8519680
0.008653,984592626.834624,7912000,8519680
0.006307,1350829237.355319,7988000,8519680
0.008153,1044974855.881271,7960000,8519680
0.007115,1197425158.116655,7932000,8519680
0.006230,1367524879.614767,7968000,8519680
0.007576,1124561774.023231,7948000,8519680
0.006884,1237606042.998257,7960000,8519680
0.006384,1334536340.852130,7980000,8519680
0.006576,1295571776.155718,7972000,8519680
0.007769,1096625048.268760,7960000,8519680
0.009423,904136686.830096,8016000,8519680
