rtt,thput,total_time,total_data
43.348537,196539.043521,72939999,8519680
43.360806,196483.432527,72939999,8519680
43.370460,196439.696512,72935999,8519680
43.380883,196392.498511,72931999,8519680
43.690729,194999.721795,73031999,8519680
43.887306,194126.292464,73023999,8519680
43.820729,194421.229277,72991999,8519680
43.892037,194105.368133,72979999,8519680
44.046499,193424.680586,72959999,8519680
44.034191,193478.744733,72967999,8519680
44.436614,191726.579347,73099999,8519680
44.361229,192052.388810,73063999,8519680
44.457806,191635.187755,73059999,8519680
44.380960,191967.005671,73051999,8519680
44.545076,191259.747767,73031999,8519680
45.098460,188912.880839,73095999,8519680
45.180999,188567.764958,73043999,8519680
45.192191,188521.065509,73043999,8519680
45.115114,188843.144672,73039999,8519680
45.242499,188311.436996,73031999,8519680
45.365383,187801.346238,73031999,8519680
45.784191,186083.445266,73167999,8519680
45.642999,186659.075579,73115999,8519680
45.747229,186233.793527,73091999,8519680
46.376345,183707.448269,73007999,8519680
46.379691,183694.194944,72999999,8519680
46.398537,183619.582661,72991999,8519680
46.464653,183358.304645,72983999,8519680
46.587806,182873.604308,72983999,8519680
46.478345,183304.289342,72979999,8519680
46.596614,182839.036330,72975999,8519680
47.011922,181223.818077,73043999,8519680
47.049806,181077.898600,72971999,8519680
47.057845,181046.964645,72971999,8519680
47.587845,179030.590690,73059999,8519680
47.687114,178657.907459,72987999,8519680
47.572922,179086.750232,72975999,8519680
47.880422,177936.610500,72971999,8519680
47.630691,178869.544429,72963999,8519680
47.893422,177888.312094,72959999,8519680
47.634845,178853.946098,72963999,8519680
47.905268,177844.323927,72955999,8519680
47.655537,178776.287842,72951999,8519680
47.726383,178510.908736,72951999,8519680
47.919960,177789.797821,72947999,8519680
47.920229,177788.799799,72935999,8519680
48.184845,176812.439679,73007999,8519680
48.253883,176559.469836,72995999,8519680
48.227845,176654.793512,72995999,8519680
48.380152,176098.661286,72911999,8519680
48.291652,176421.382313,72935999,8519680
48.241960,176603.106507,72959999,8519680
48.308652,176359.298951,72923999,8519680
48.443845,175867.130282,72903999,8519680
48.295883,176405.926774,72963999,8519680
48.569383,175412.563919,72895999,8519680
