rtt,thput,total_time,total_data
0.004961,1717331183.229188,7932000,8519680
0.005230,1629001912.045889,7944000,8519680
0.005153,1653343683.291287,7940000,8519680
0.005384,1582407132.243685,7936000,8519680
0.005423,1571027106.767472,7924000,8519680
0.004653,1831007951.859016,7940000,8519680
0.005307,1605366497.079329,7944000,8519680
0.004884,1744406224.406224,7956000,8519680
0.004538,1877408550.022036,7956000,8519680
0.004615,1846084507.042253,7980000,8519680
0.005500,1549032727.272727,7968000,8519680
0.004346,1960349746.893695,7992000,8519680
0.004269,1995708596.861091,7984000,8519680
0.004961,1717331183.229188,7984000,8519680
0.005115,1665626588.465298,7944000,8519680
0.004769,1786470958.272175,7976000,8519680
0.005269,1616944391.725185,7956000,8519680
0.005769,1476803605.477552,7920000,8519680
0.005000,1703936000.000000,7972000,8519680
0.006653,1280577183.225612,7920000,8519680
0.005076,1678423955.870764,7920000,8519680
0.005153,1653343683.291287,7976000,8519680
0.005846,1457352035.579884,7940000,8519680
0.004923,1730587040.422507,7968000,8519680
0.004423,1926222021.252544,7984000,8519680
0.005615,1517307212.822796,7924000,8519680
0.005230,1629001912.045889,7908000,8519680
0.005807,1467139659.032202,7920000,8519680
0.004961,1717331183.229188,7944000,8519680
0.005961,1429236705.250797,7940000,8519680
0.005192,1640924499.229584,7968000,8519680
0.005615,1517307212.822796,7992000,8519680
0.004461,1909813943.062094,7992000,8519680
0.005346,1593655069.210625,7944000,8519680
0.004807,1772348658.206782,7964000,8519680
0.005730,1486855148.342059,7960000,8519680
0.004923,1730587040.422507,7984000,8519680
0.005769,1476803605.477552,7948000,8519680
0.005961,1429236705.250797,7936000,8519680
0.005846,1457352035.579884,7972000,8519680
0.004384,1943357664.233577,7964000,8519680
0.005576,1527919655.667145,7944000,8519680
0.005653,1507107730.408633,7952000,8519680
0.005730,1486855148.342059,7964000,8519680
0.006346,1342527576.426095,7944000,8519680
0.005153,1653343683.291287,7980000,8519680
0.005730,1486855148.342059,7980000,8519680
0.005115,1665626588.465298,7992000,8519680
0.005461,1560095220.655558,7976000,8519680
0.006038,1411010268.300762,8000000,8519680
0.007961,1070177113.427961,7920000,8519680
0.008807,967375950.948109,7932000,8519680
0.009576,889690893.901420,7940000,8519680
0.007846,1085862860.056079,7960000,8519680
0.009076,938704275.011018,7956000,8519680
0.009846,865293520.211253,7940000,8519680
0.009538,893235479.136087,7948000,8519680
0.010000,851968000.000000,7944000,8519680
0.009192,926858137.510879,7944000,8519680
0.009038,942651028.988714,7944000,8519680
0.009230,923042253.521127,7952000,8519680
0.009384,907894288.150043,7972000,8519680
0.009115,934687877.125617,7940000,8519680
0.008807,967375950.948109,8008000,8519680
0.008653,984592626.834624,7932000,8519680
0.009230,923042253.521127,7960000,8519680
0.008923,954799955.172027,7944000,8519680
0.009038,942651028.988714,7944000,8519680
0.008884,958991445.294912,7944000,8519680
0.008961,950751032.250865,7936000,8519680
0.008846,963111010.626272,7964000,8519680
0.008807,967375950.948109,7956000,8519680
0.008538,997854298.430546,7976000,8519680
0.007500,1135957333.333333,8052000,8519680
0.006115,1393242845.461979,7948000,8519680
0.005923,1438406213.067702,7964000,8519680
0.006269,1359017387.143085,7960000,8519680
0.005346,1593655069.210625,7956000,8519680
0.005461,1560095220.655558,7936000,8519680
0.005538,1538403755.868545,7952000,8519680
0.004846,1758085018.572018,7956000,8519680
0.004346,1960349746.893695,7996000,8519680
0.005115,1665626588.465298,7932000,8519680
0.004730,1801200845.665962,7936000,8519680
0.005192,1640924499.229584,7940000,8519680
0.005884,1447940176.750510,7948000,8519680
0.004500,1893262222.222222,7952000,8519680
0.006730,1265925705.794948,7964000,8519680
0.006115,1393242845.461979,7972000,8519680
0.004692,1815788576.300085,7952000,8519680
0.005576,1527919655.667145,7932000,8519680
0.005576,1527919655.667145,8000000,8519680
0.004615,1846084507.042253,7972000,8519680
0.004192,2032366412.213740,7964000,8519680
0.004769,1786470958.272175,7960000,8519680
0.004846,1758085018.572018,7964000,8519680
0.005115,1665626588.465298,7956000,8519680
0.005884,1447940176.750510,7964000,8519680
0.004692,1815788576.300085,7960000,8519680
0.005153,1653343683.291287,7996000,8519680
