rtt,thput,total_time,total_data
46.918268,181585.560661,74807998,8519680
47.226768,180399.387059,74891998,8519680
47.363921,179876.999626,74887998,8519680
47.455806,179528.717730,74851998,8519680
47.461691,179506.457113,74851998,8519680
47.479268,179440.003161,74847998,8519680
47.487075,179410.502753,74847998,8519680
47.528729,179253.268060,74835998,8519680
47.598844,178989.220831,74827998,8519680
47.614152,178931.675608,74827998,8519680
47.948960,177682.268813,74899998,8519680
47.983421,177554.659973,74887998,8519680
48.146421,176953.547596,74867998,8519680
48.201883,176749.941491,74847998,8519680
48.172768,176856.766877,74855998,8519680
48.163460,176890.945958,74863998,8519680
48.176614,176842.648178,74855998,8519680
48.226844,176658.460172,74855998,8519680
48.282575,176454.549079,74831998,8519680
48.217383,176693.123308,74847998,8519680
48.274998,176482.244494,74835998,8519680
48.316306,176331.361094,74835998,8519680
48.596537,175314.549677,74919998,8519680
48.678191,175020.472721,74899998,8519680
48.840537,174438.704472,74895998,8519680
48.700306,174940.995237,74891998,8519680
48.755075,174744.475319,74879998,8519680
48.818806,174516.353391,74867998,8519680
48.801075,174579.760794,74867998,8519680
48.721383,174865.315297,74879998,8519680
48.748883,174766.671064,74871998,8519680
48.876691,174309.672478,74859998,8519680
48.851229,174400.525317,74855998,8519680
48.897575,174235.225366,74851998,8519680
48.933498,174107.316015,74839998,8519680
48.949114,174051.771397,74835998,8519680
48.962921,174002.690730,74831998,8519680
49.015075,173817.544908,74831998,8519680
49.364614,172586.784534,74867998,8519680
49.447960,172295.884400,74851998,8519680
49.574767,171855.169788,74823998,8519680
49.616921,171709.163493,74803998,8519680
49.631344,171659.264355,74803998,8519680
50.002152,170386.266575,74831998,8519680
50.136767,169928.786992,74843998,8519680
50.020306,170324.427843,74831998,8519680
50.115191,170001.946116,74819998,8519680
50.187614,169756.625609,74803998,8519680
50.240537,169577.805269,74787998,8519680
50.213037,169670.677358,74791998,8519680
50.133114,169941.169025,74807998,8519680
50.774306,167795.104871,74847998,8519680
50.679806,168107.983681,74799998,8519680
50.718306,167980.373792,74799998,8519680
50.705729,168022.039482,74795998,8519680
50.831460,167606.439005,74771998,8519680
50.855537,167527.087562,74759998,8519680
51.231152,166298.817563,74787998,8519680
51.412383,165712.606630,74775998,8519680
51.634344,165000.256418,74783998,8519680
51.439114,165626.491934,74751998,8519680
51.505767,165412.156662,74759998,8519680
51.316652,166021.742806,74775998,8519680
51.401960,165746.208899,74759998,8519680
51.578383,165179.276752,74723998,8519680
51.470152,165526.614338,74751998,8519680
52.149498,163370.316623,74667998,8519680
51.484383,165480.860478,74747998,8519680
51.485075,165478.636284,74751998,8519680
51.985921,163884.371694,74715998,8519680
52.192498,163235.720199,74655998,8519680
52.841114,161232.028530,74579998,8519680
52.773844,161437.548495,74599998,8519680
52.799960,161357.697998,74591998,8519680
52.898921,161055.837037,74567998,8519680
52.864921,161159.419873,74575998,8519680
52.298960,162903.430584,74631998,8519680
52.917998,160997.776220,74567998,8519680
52.910729,161019.894472,74567998,8519680
52.854037,161192.606726,74603998,8519680
52.041537,163709.230955,74719998,8519680
53.335037,159738.897341,74587998,8519680
53.449767,159396.017573,74595998,8519680
53.506306,159227.587118,74543998,8519680
58.605844,145372.533156,73699998,8519680
58.604306,145376.348284,73691998,8519680
58.606460,145371.005176,73683998,8519680
58.613960,145352.404103,73671998,8519680
57.977344,146948.435582,73795998,8519680
57.981690,146937.421107,73791998,8519680
58.290113,146159.949973,73747998,8519680
58.291767,146155.802757,73743998,8519680
58.284344,146174.416924,73751998,8519680
58.623652,145328.373606,73659998,8519680
58.618498,145341.151525,73687998,8519680
58.296652,146143.555551,73755998,8519680
58.299536,146136.326025,73731998,8519680
58.303344,146126.781339,73727998,8519680
58.627806,145318.076545,73667998,8519680
58.628575,145316.170485,73663998,8519680
46.697691,182443.281832,73467999,8519680
46.726229,182331.854770,73463999,8519680
46.764768,182181.594486,73459999,8519680
46.768614,182166.612849,73455999,8519680
46.808960,182009.598162,73435999,8519680
47.361576,179885.905824,73479999,8519680
47.354153,179914.103838,73471999,8519680
47.362306,179883.133224,73467999,8519680
47.291806,180151.293017,73471999,8519680
47.474114,179459.483962,73431999,8519680
47.501191,179357.187065,73423999,8519680
47.457999,179520.421837,73431999,8519680
47.531383,179243.259133,73419999,8519680
47.545806,179188.885766,73419999,8519680
47.564306,179119.190765,73423999,8519680
47.562614,179125.562779,73419999,8519680
47.541114,179206.570549,73419999,8519680
48.019729,177420.409849,73467999,8519680
47.936845,177727.174160,73463999,8519680
48.019499,177421.259643,73463999,8519680
48.027268,177392.559577,73439999,8519680
48.111614,177081.567041,73431999,8519680
48.186768,176805.383586,73403999,8519680
48.274460,176484.211320,73403999,8519680
48.238345,176616.341212,73399999,8519680
48.645422,175138.371705,73435999,8519680
48.671922,175043.015560,73439999,8519680
48.687845,174985.769035,73435999,8519680
48.684076,174999.315998,73439999,8519680
48.673883,175035.963332,73427999,8519680
48.683768,175000.423139,73419999,8519680
48.705076,174923.862145,73419999,8519680
48.786037,174633.573947,73399999,8519680
48.894576,174245.912266,73371999,8519680
48.950845,174045.616577,73367999,8519680
49.322922,172732.669812,73511999,8519680
49.253422,172976.407609,73423999,8519680
49.303768,172799.774654,73407999,8519680
49.342883,172662.793133,73411999,8519680
49.355345,172619.196563,73399999,8519680
49.342652,172663.601462,73411999,8519680
49.469729,172220.066134,73363999,8519680
49.328422,172713.410536,73391999,8519680
49.373306,172556.401226,73387999,8519680
49.476614,172196.100566,73363999,8519680
49.373076,172557.205065,73399999,8519680
49.594537,171786.662712,73331999,8519680
49.620845,171695.584789,73327999,8519680
49.536845,171986.730281,73343999,8519680
49.608383,171738.716015,73335999,8519680
49.999422,170395.569773,73327999,8519680
50.091268,170083.137045,73407999,8519680
50.102114,170046.317806,73411999,8519680
50.639845,168240.641337,73399999,8519680
49.981806,170455.625393,73371999,8519680
50.002922,170383.642780,73367999,8519680
50.104652,170037.704283,73343999,8519680
50.040537,170255.567002,73359999,8519680
50.141076,169914.183732,73351999,8519680
50.605537,168354.700001,73295999,8519680
50.679576,168108.746608,73299999,8519680
50.057729,170197.093839,73351999,8519680
50.041076,170253.733153,73359999,8519680
51.367229,165858.275127,73199999,8519680
51.297306,166084.355385,73219999,8519680
50.744076,167895.066214,73275999,8519680
50.884345,167432.242667,73231999,8519680
51.351152,165910.201976,73199999,8519680
51.351037,165910.573529,73199999,8519680
51.306191,166055.593564,73211999,8519680
50.767152,167818.750203,73263999,8519680
51.416922,165697.977798,73191999,8519680
51.485537,165477.151379,73175999,8519680
51.374806,165833.813562,73199999,8519680
