rtt,thput,total_time,total_data
0.004712,1755925297.113752,7940000,8273920
0.004346,1960349746.893695,7948000,8519680
0.004233,1993328608.551855,7960000,8437760
0.004431,1885768449.559919,7956000,8355840
0.004384,1943357664.233577,7932000,8519680
0.004153,2051451962.436793,7956000,8519680
0.004466,1889332736.229288,7864000,8437760
0.004565,1776578313.253012,7920000,8110080
0.004699,1795650138.327304,7948000,8437760
0.004233,1993328608.551855,7960000,8437760
0.004000,2109440000.000000,7964000,8437760
0.004077,2069600196.222713,7956000,8437760
0.004543,1857310147.479639,7932000,8437760
0.004233,1993328608.551855,7960000,8437760
0.004000,2088960000.000000,7972000,8355840
0.004504,1873392539.964476,7968000,8437760
0.004079,2028418730.080902,7972000,8273920
0.004039,2048507056.202030,7980000,8273920
0.003615,2356757952.973721,8004000,8519680
0.004230,2014108747.044917,7964000,8519680
0.003269,2606203732.028143,7960000,8519680
0.003884,2193532440.782698,7920000,8519680
0.003500,2434194285.714286,7968000,8519680
0.004000,2129920000.000000,7924000,8519680
0.003611,2336682359.457214,7944000,8437760
0.003728,2263347639.484979,7952000,8437760
0.003456,2441481481.481482,7972000,8437760
0.003653,2332241992.882562,7956000,8519680
0.003653,2332241992.882562,7952000,8519680
0.003884,2193532440.782698,7936000,8519680
0.003500,2434194285.714286,7964000,8519680
0.003423,2488951212.386796,7976000,8519680
0.003653,2332241992.882562,7960000,8519680
0.003846,2215205408.216329,7960000,8519680
0.003572,2362194848.824188,7956000,8437760
0.003153,2702086901.363780,7976000,8519680
0.003500,2434194285.714286,7980000,8519680
0.003307,2576256425.763532,7980000,8519680
0.003500,2434194285.714286,7960000,8519680
0.003461,2461623808.147934,7964000,8519680
