rtt,thput,total_time,total_data
0.003076,2769726918.075422,7964000,8519680
0.003766,2240509824.747743,7932000,8437760
0.003615,2356757952.973721,7944000,8519680
0.002961,2877298210.064167,7996000,8519680
0.003346,2546228332.337119,7944000,8519680
0.003384,2517635933.806147,7972000,8519680
0.003423,2488951212.386796,7952000,8519680
0.003076,2769726918.075422,7984000,8519680
0.003262,2586683016.554261,7968000,8437760
0.002912,2897582417.582417,8000000,8437760
0.003615,2356757952.973721,7944000,8519680
0.003230,2637671826.625387,7972000,8519680
0.003230,2637671826.625387,7948000,8519680
0.003538,2408049745.618994,7948000,8519680
0.003689,2287275684.467335,7956000,8437760
0.003294,2536684881.602914,7972000,8355840
0.003650,2311715068.493151,7956000,8437760
0.003805,2217545335.085414,7944000,8437760
0.003192,2669072681.704261,7980000,8519680
0.003405,2429932452.276064,7984000,8273920
