rtt,thput,total_time,total_data
0.740000,110702.702703,740000,81920
5.969882,233277.642674,32948000,1392640
6.578000,124536.333232,35276000,819200
11.984000,75193.591455,35696000,901120
27.191600,30126.950970,34932000,819200
15.885333,77354.374630,35792000,1228800
8.421000,194561.216008,36716000,1638400
18.221230,116892.218582,37628000,2129920
8.645250,151611.578613,37980000,1310720
16.128695,116820.362714,37928000,1884160
16.875454,106796.534185,37936000,1802240
18.174000,117195.994278,37844000,2129920
17.605473,88408.871491,37764000,1556480
22.768800,35979.059063,37720000,819200
15.455692,68904.064600,37656000,1064960
17.123250,76546.216402,37656000,1310720
17.906962,123518.439365,38212000,2211840
19.860769,107242.574545,38124000,2129920
15.487428,148104.643327,38752000,2293760
21.974600,74558.808807,38560000,1638400
23.899304,78837.442295,38556000,1884160
27.840242,97102.604209,46123999,2703360
31.156249,84138.498187,46115999,2621440
28.437764,97943.002832,46103999,2785280
31.777076,67026.934763,46127999,2129920
36.380761,47286.531472,45715999,1720320
34.834814,63495.100046,45719999,2211840
35.424571,64750.537134,45719999,2293760
35.126962,62967.016618,45719999,2211840
36.018475,47762.155394,45727999,1720320
24.835874,105550.543540,46851999,2621440
24.554624,106759.525212,46855999,2621440
25.064999,117658.891588,46855999,2949120
24.400736,127576.479660,46859999,3112960
22.973142,99845.288903,46863999,2293760
24.909999,105236.455449,46871999,2621440
24.215534,145466.955220,46879999,3522560
25.433523,135279.725109,46827999,3440640
25.607259,86375.507820,46859999,2211840
26.083684,119345.104779,46863999,3112960
25.020856,137510.882921,46787999,3440640
24.961624,105018.808071,46811999,2621440
24.603885,116534.441614,46771999,2867200
25.307882,110055.831618,46643999,2785280
24.229028,118337.392651,46727999,2867200
25.598856,112005.005224,46743999,2867200
25.561333,96145.220595,46947999,2457600
26.281110,112214.438431,46727999,2949120
27.388540,110668.184576,46691999,3031040
28.105743,113673.564865,46691999,3194880
27.306099,120002.494681,46699999,3276800
25.925939,104272.404560,46703999,2703360
28.137211,96077.752696,46711999,2703360
30.199499,65103.066776,46707999,1966080
28.183034,84294.685945,46715999,2375680
28.316947,109932.755110,46679999,3112960
28.029599,102291.866537,46667999,2867200
28.475666,103566.322206,46655999,2949120
29.450444,100138.388406,46607999,2949120
28.528142,80403.413584,46607999,2293760
30.934193,82094.270247,46611999,2539520
31.221624,83962.320474,46615999,2621440
37.851150,214262.446451,58515999,8110080
37.114614,229550.548471,58567999,8519680
38.711380,177758.581585,58523999,6881280
38.012387,221973.958121,58687999,8437760
38.973519,210194.003780,58691999,8192000
40.140700,197959.676837,58443999,7946240
39.373859,178928.867501,58443999,7045120
40.379044,178532.210916,58431999,7208960
38.538756,218942.199380,58647999,8437760
38.985411,214332.484529,58727999,8355840
39.962698,170142.666544,58631999,6799360
39.273164,214847.981181,58823999,8437760
15.255157,102029.759510,58655999,1556480
39.927367,194913.929586,58663999,7782400
40.961403,187993.560670,58703999,7700480
40.074038,208510.058308,58875999,8355840
32.381241,73365.934307,58759999,2375680
41.023958,193697.546200,58751999,7946240
31.062666,79117.484636,58751999,2457600
40.872818,166354.079134,58711999,6799360
27.052914,105984.885769,58763999,2867200
20.860959,98173.818375,58759999,2048000
40.045125,210706.296959,58907999,8437760
27.986742,102448.509369,58767999,2867200
43.286976,170323.748187,58759999,7372800
40.585086,207902.972042,58807999,8437760
41.755691,178531.831745,58755999,7454720
27.855589,114694.397595,58811999,3194880
42.187354,180588.713860,58807999,7618560
29.847499,87827.794215,58823999,2621440
30.444386,83415.050643,58811999,2539520
41.359669,192125.328663,58819999,7946240
41.180582,190971.560334,58803999,7864320
40.896236,202314.951430,58807999,8273920
43.581825,172930.803150,58719999,7536640
41.382038,201919.489804,58763999,8355840
42.013639,194984.300217,58727999,8192000
44.222460,192655.044518,58355999,8519680
0.044000,3723636.363636,148000,163840
2.772533,443204.823892,37027999,1228800
7.782105,200007.581496,38635999,1556480
9.762285,117480.692276,38647999,1146880
4.300222,342903.226857,39363999,1474560
8.338571,137539.153891,39059999,1146880
26.909713,21309.777626,38399999,573440
12.722999,103019.736149,39379999,1310720
10.872940,128083.112755,40103999,1392640
10.635809,161747.921573,39979999,1720320
8.306666,88757.631521,39835999,737280
21.442666,22922.522787,39163999,491520
24.315428,23583.380889,39167999,573440
10.754315,144730.742962,40275999,1556480
9.371714,122376.760537,40215999,1146880
11.990571,95648.489134,40859999,1146880
15.728332,62501.223906,40867999,983040
15.204234,91595.538453,40871999,1392640
29.958399,27344.585403,40355999,819200
24.813999,26410.898139,40363999,655360
30.026221,24554.538515,40367999,737280
28.550999,22954.012923,40363999,655360
27.269999,24032.270775,40375999,655360
31.487332,15610.087257,40387999,491520
29.223999,11212.702273,40403999,327680
34.194221,21561.538132,40383999,737280
10.621894,146535.071805,41743999,1556480
15.118608,124625.230048,41751999,1884160
14.334166,137160.404030,41755999,1966080
14.913523,115353.025573,41759999,1720320
14.235477,132356.646707,41747999,1884160
12.731519,160860.616867,41767999,2048000
17.835076,59711.548187,41471999,1064960
13.063999,150496.031116,41739999,1966080
