50069 54675 57826 55761 48519 50531 55144 54643 58134 49215 47996 
110753 94989 93607 92776 94699 92896 95293 94483 95371 92714 97535 
140180 139931 141728 153553 140004 139721 147694 142097 144374 142375 160291 
192151 196079 193085 187962 210932 203878 213708 213706 220803 186052 210117 
236715 248091 236585 229451 266924 266905 264498 229805 257191 227291 230413 
282980 279751 281184 305971 284203 313816 316998 288555 287972 287778 329159 
321661 330226 347890 333272 370958 335842 319963 325576 347911 337101 375427 
381045 373653 419964 373034 429052 371249 370175 387148 366157 387112 441362 
419772 491454 430450 431770 498722 429658 419779 413833 403904 413833 403904
534298 450571 450254 456977 443814 448085 463449 445547 448005 496539 441963 
