84591 85285 99460 98922 91782 91902 92142 91251 85341 83221 82011 
157717 169323 159106 165180 162745 184517 164216 162713 198498 196510 162014 
268228 264994 241806 237801 245003 240091 240308 293148 246004 242251 248094 
330454 354760 323162 315242 362784 328246 344252 323319 340899 330857 310432 
405005 406037 419758 404637 499743 402632 403451 397599 409414 404552 404552
492260 545987 485045 477402 492245 475469 536343 482456 596725 484542 477797 
584285 579580 552628 558867 562733 560147 551991 596843 573738 572165 579943 
648630 633296 651873 655689 698171 779723 658235 801092 641270 641884 661377 
715184 794896 776657 705693 881928 731132 732760 766758 713214 808368 766758
946577 789767 776927 788061 883738 819003 796934 790209 796135 784108 784108

