rtt,thput,total_time,total_data
0.049774,9875035158.918310,6604000,491520000
0.075496,6510543604.959204,6628000,491520000
0.070388,6983008467.352389,6600000,491520000
0.004195,117168057210.965439,7267999,491520000
0.025675,19143914313.534565,6668000,491520000
0.066779,7360397729.825244,6652000,491520000
0.039870,12328066215.199398,6740000,491520000
0.070831,6939334472.194378,6580000,491520000
0.052862,9298172600.355642,6664000,491520000
0.063925,7689010559.249121,6575999,491520000
0.005626,87365801635.264847,7152000,491520000
0.007866,62486651411.136536,7192000,491520000
0.009729,50521122417.514648,6964000,491520000
0.076457,6428711563.362413,6604000,491520000
0.079536,6179843089.921545,6608000,491520000
0.013895,35373875494.782295,6939999,491520000
