rtt,thput,total_time,total_data
0.002788,176298421807.747467,7424000,491520000
0.002810,174918149466.192169,7436000,491520000
0.002823,174112646121.147705,7360000,491520000
0.002772,177316017316.017303,7384000,491520000
0.002745,179060109289.617493,7455999,491520000
0.002812,174793741109.530579,7372000,491520000
0.002740,179386861313.868622,7484000,491520000
0.002853,172281808622.502625,7408000,491520000
0.002797,175731140507.686798,7404000,491520000
0.002791,176108921533.500519,7391999,491520000
0.002890,170076124567.474030,7372000,491520000
0.002869,171321017776.228638,7348000,491520000
0.002794,175919828203.292755,7404000,491520000
0.002800,175542857142.857147,7424000,491520000
0.002748,178864628820.960693,7384000,491520000
0.002822,174174344436.569824,7427999,491520000
