rtt,thput,total_time,total_data
0.004466,1889332736.229288,7952000,8437760
0.004194,2011864568.431092,7924000,8437760
0.003961,2130209543.044686,7940000,8437760
0.004230,2014108747.044917,7940000,8519680
0.004076,2090206084.396467,7960000,8519680
0.003961,2130209543.044686,7956000,8437760
0.003921,2131048201.989288,7952000,8355840
0.003538,2408049745.618994,7940000,8519680
0.004000,2129920000.000000,7952000,8519680
0.003653,2332241992.882562,7960000,8519680
0.004115,2070396111.786148,7956000,8519680
0.003576,2382460850.111857,7964000,8519680
0.004000,2129920000.000000,7960000,8519680
0.003884,2193532440.782698,7944000,8519680
0.003615,2356757952.973721,7980000,8519680
0.003846,2215205408.216329,7972000,8519680
0.003961,2130209543.044686,7960000,8437760
0.003846,2215205408.216329,7964000,8519680
0.003961,2150891189.093663,7948000,8519680
0.003884,2193532440.782698,7968000,8519680
0.003961,2150891189.093663,7932000,8519680
0.004769,1786470958.272175,7936000,8519680
0.005230,1629001912.045889,7924000,8519680
0.003500,2434194285.714286,7960000,8519680
0.004038,2109876176.324913,7924000,8519680
0.004831,1712672324.570482,7940000,8273920
0.004000,2129920000.000000,7968000,8519680
0.005098,1639042761.867399,7944000,8355840
0.004823,1732498444.951275,7980000,8355840
0.003923,2171725720.112159,7956000,8519680
0.004500,1893262222.222222,7952000,8519680
0.003495,2414237482.117311,8008000,8437760
0.004349,1940160956.541734,7956000,8437760
0.003846,2215205408.216329,7968000,8519680
0.004250,1850428235.294117,7936000,7864320
0.004240,1932075471.698113,7936000,8192000
0.003495,2414237482.117311,7928000,8437760
0.003923,2171725720.112159,7972000,8519680
0.003769,2260461660.918015,7972000,8519680
0.003961,2150891189.093663,7968000,8519680
