rtt,thput,total_time,total_data
0.005360,1528358208.955224,7915999,8192000
0.005846,1457352035.579884,7915999,8519680
0.006515,1219683806.600153,7927999,7946240
0.007038,1210525717.533390,7959999,8519680
0.005148,1607210567.210567,7963999,8273920
0.005663,1461048914.003179,7923999,8273920
0.005020,1599235059.760956,7943999,8028160
0.005941,1420259215.620266,7903999,8437760
0.005980,1410996655.518395,7971999,8437760
0.006297,1313946323.646181,7955999,8273920
0.004653,1725372877.713303,7955999,8028160
0.004910,1685116089.613034,7959999,8273920
0.008848,916600361.663653,7955999,8110080
0.005553,1519495768.053305,7979999,8437760
0.006912,1220740740.740741,7983999,8437760
0.006144,1293333333.333333,7955999,7946240
0.005215,1602270373.921381,7911999,8355840
0.005320,1539849624.060150,7935999,8192000
0.005553,1519495768.053305,7975999,8437760
0.005825,1448542489.270386,7975999,8437760
0.005959,1347232757.174022,7943999,8028160
0.005920,1383783783.783784,7939999,8192000
0.007366,1123258213.412978,7975999,8273920
0.005980,1410996655.518395,7931999,8437760
0.005737,1413644762.070769,7931999,8110080
0.005656,1433889674.681754,7923999,8110080
0.004980,1677879518.072289,7959999,8355840
0.005520,1484057971.014493,7943999,8192000
0.004692,1815788576.300085,7919999,8519680
0.004349,1940160956.541734,7951999,8437760
0.005576,1527919655.667145,7991999,8519680
0.004621,1825959748.972084,7979999,8437760
0.004627,1805887183.920467,7991999,8355840
0.005939,1365563226.132345,7923999,8110080
0.005882,1420578034.682081,7935999,8355840
0.005653,1507107730.408633,7947999,8519680
0.005465,1513983531.564501,7951999,8273920
0.005098,1639042761.867399,7975999,8355840
0.005230,1629001912.045889,7959999,8519680
0.005278,1505539977.264115,7939999,7946240
0.006576,1295571776.155718,7916000,8519680
0.005825,1448542489.270386,7940000,8437760
0.004470,1869315436.241611,7968000,8355840
0.006352,1315465994.962217,7936000,8355840
0.005227,1582919456.667305,7948000,8273920
0.004846,1758085018.572018,7960000,8519680
0.005137,1626599182.402180,7928000,8355840
0.005137,1626599182.402180,7956000,8355840
0.005782,1430978900.034590,7976000,8273920
0.005290,1440181474.480151,7912000,7618560
0.004776,1766700167.504188,7936000,8437760
0.005048,1671505546.751189,7956000,8437760
0.005803,1439917284.163364,7944000,8355840
0.004582,1841501527.717154,7944000,8437760
0.004115,2070396111.786148,7952000,8519680
0.004155,2030748495.788207,7956000,8437760
0.005346,1547684249.906472,7924000,8273920
0.005454,1486996699.669967,7932000,8110080
0.005428,1479027266.028003,7932000,8028160
0.006666,1216633663.366337,7968000,8110080
0.005777,1403856673.013675,7960000,8110080
0.005148,1607210567.210567,7972000,8273920
0.005227,1582919456.667305,7960000,8273920
0.006000,1365333333.333333,7944000,8192000
0.005346,1501713430.602319,7944000,8028160
0.005280,1551515151.515152,7976000,8192000
0.005010,1618778443.113773,7952000,8110080
0.004699,1795650138.327304,7956000,8437760
0.005142,1561291326.332166,7920000,8028160
0.006424,1262465753.424658,7948000,8110080
0.006383,1270574964.750118,7924000,8110080
0.006322,1205086997.785511,7924000,7618560
0.004932,1710819140.308192,7984000,8437760
0.004352,1920000000.000000,7976000,8355840
0.005425,1525146543.778802,7940000,8273920
0.004730,1801200845.665962,7996000,8519680
0.005215,1602270373.921381,7956000,8355840
0.004349,1940160956.541734,7968000,8437760
0.005758,1294671761.028135,7952000,7454720
0.004884,1744406224.406224,7984000,8519680
