rtt,thput,total_time,total_data
0.854084,6810009.319926,10860000,5816320
0.959411,5806229.030103,10988000,5570560
1.639662,4146805.866087,11032000,6799360
1.587733,4643601.915435,11352000,7372800
1.409135,4301986.679772,11324000,6062080
1.599594,4045826.628507,11208000,6471680
1.732960,3545379.004709,11376000,6144000
1.938000,4396119.711042,12328000,8519680
1.486025,4355027.674501,12264000,6471680
1.683717,4135611.863514,12264000,6963200
1.377734,4935176.166081,12260000,6799360
2.025209,3478712.567444,12260000,7045120
1.790752,4254391.451189,12324000,7618560
1.955366,4231391.974699,12300000,8273920
1.567954,4597685.901500,12292000,7208960
1.361518,4753282.732950,12288000,6471680
1.484433,4580442.498920,12292000,6799360
1.796835,4148806.095162,12292000,7454720
1.956734,4102836.665587,12292000,8028160
1.802193,4227382.971746,12288000,7618560
1.584731,4238851.893476,12284000,6717440
1.394300,4700279.710249,12284000,6553600
1.566279,4497998.121663,12252000,7045120
1.782593,4181952.919146,12260000,7454720
1.847711,4300585.968260,12228000,7946240
1.858845,4274826.572415,12224000,7946240
2.006392,4164609.906738,12324000,8355840
1.029058,5413261.448820,12280000,5570560
1.831958,4292849.508559,12264000,7864320
1.571172,4536129.717179,12268000,7127040
1.810870,3845223.566573,12264000,6963200
2.000235,4177429.152075,12248000,8355840
1.793617,4064903.488314,12260000,7290880
1.691441,4165158.583716,12264000,7045120
1.864347,4042509.253910,12264000,7536640
1.603084,4241424.653979,12256000,6799360
1.711255,4116931.725546,12256000,7045120
2.156351,3457099.516730,12252000,7454720
1.551308,4277371.095875,12248000,6635520
1.946255,3956562.732016,12252000,7700480
1.269246,4969753.696289,12208000,6307840
1.575277,3744255.772159,12244000,5898240
1.938739,3887392.784691,12220000,7536640
2.072000,4032741.312741,12248000,8355840
1.463948,4308786.924126,12216000,6307840
1.498168,4538449.626477,12220000,6799360
2.097192,4062422.515440,12248000,8519680
1.795816,3968691.669971,12232000,7127040
2.002020,3969111.197690,12228000,7946240
1.918097,3502137.795951,12216000,6717440
2.101797,3468879.249518,12224000,7290880
2.062021,3694705.340052,12220000,7618560
1.928045,3738999.867742,12220000,7208960
1.783720,3949678.200614,12220000,7045120
2.157632,3720819.861774,12220000,8028160
2.078222,3547647.941365,12220000,7372800
1.776224,4104707.514368,12208000,7290880
1.750744,4024072.051653,12200000,7045120
1.877130,4014980.315695,12196000,7536640
1.800325,3913248.996709,12200000,7045120
1.267291,5106703.985115,10888000,6471680
0.990753,6366712.995065,10940000,6307840
1.355045,5320089.000734,11176000,7208960
1.353230,4721858.072907,10936000,6389760
1.493573,4881502.276755,11444000,7290880
1.258313,5403552.216340,11408000,6799360
1.209333,5283705.976766,11364000,6389760
1.502052,4144943.051239,11344000,6225920
1.237015,4172107.856412,11296000,5160960
0.751563,5994973.142637,11288000,4505600
1.165590,5833406.257775,11472000,6799360
1.529200,4821344.493853,11460000,7372800
1.415473,4398473.160562,11524000,6225920
1.113481,3972838.333119,11404000,4423680
1.238650,5290921.567836,12032000,6553600
1.139341,5680195.832503,12000000,6471680
1.435862,4963596.780192,11976000,7127040
1.362102,4691102.428452,12012000,6389760
1.582112,4608321.029105,11944000,7290880
0.802388,6840381.461338,12060000,5488640
1.187300,5519750.694854,12036000,6553600
1.507238,4565489.988973,12036000,6881280
1.706734,4703814.419822,12020000,8028160
1.181400,5547316.742847,12012000,6553600
1.579260,4772260.425769,11908000,7536640
1.473818,4891350.220991,11824000,7208960
1.172054,5102290.508799,12020000,5980160
1.725696,4699599.465955,12064000,8110080
1.641802,4540571.883820,11948000,7454720
1.019594,5543853.730014,11944000,5652480
1.248235,4462749.402156,11944000,5570560
1.774818,4061802.393259,11936000,7208960
1.529428,3749375.583551,11924000,5734400
1.799435,3550981.280235,11924000,6389760
1.309294,4254628.830499,11928000,5570560
1.499222,3934200.538679,11812000,5898240
1.138923,5610352.938697,11908000,6389760
1.211000,5141139.554088,11876000,6225920
1.400960,4385564.184559,11868000,6144000
1.550325,4544285.875542,11908000,7045120
1.757263,4428705.321856,11820000,7782400
1.168516,4346572.918129,11812000,5079040
1.443542,3972451.095985,11812000,5734400
1.396712,4281598.497042,11868000,5980160
1.361975,4871983.700141,11816000,6635520
1.247379,3809074.868184,11868000,4751360
1.721047,3998310.330863,11868000,6881280
1.339323,4342731.365025,11868000,5816320
1.510857,4175007.959059,11868000,6307840
1.617162,4356471.398660,11864000,7045120
1.226985,4473273.919404,11860000,5488640
1.469148,5241459.675948,12156000,7700480
1.508126,3422101.336360,11860000,5160960
1.566787,3450832.819011,11812000,5406720
1.664684,3740001.105315,11812000,6225920
1.685276,4569269.365967,11816000,7700480
1.837081,3299843.610597,11812000,6062080
1.531764,3636695.992333,11812000,5570560
1.740808,4423509.083138,12012000,7700480
1.720646,4713392.528155,12108000,8110080
