rtt,thput,total_time,total_data
11.467500,57149.335077,23256000,655360
3.457714,165843.675908,23668000,573440
11.919000,82476.717845,25348000,983040
16.339076,65178.716348,26004000,1064960
13.704800,29887.338743,26624000,409600
16.124000,50806.251550,26616000,819200
16.645629,132878.126744,27084000,2211840
9.549500,68627.676842,26984000,655360
19.183529,72595.610537,26900000,1392640
19.371384,54975.937703,26868000,1064960
17.034200,96182.973078,27308000,1638400
17.977076,118479.779470,27276000,2129920
11.467636,78579.403811,27256000,901120
14.245200,57507.090108,27256000,819200
16.956571,67636.316328,27264000,1146880
16.095500,40716.970582,27044000,655360
15.924347,118319.451341,27536000,1884160
15.782666,62286.054840,27424000,983040
17.117538,62214.554453,27348000,1064960
20.180750,64949.023203,27308000,1310720
31.306534,185786.136530,45771999,5816320
30.500657,212181.658907,45767999,6471680
31.669945,191414.288847,45735999,6062080
32.310534,180013.118941,45735999,5816320
31.977854,176762.330580,46219999,5652480
29.548752,235651.238333,46215999,6963200
31.707999,183433.839518,46167999,5816320
29.497219,227731.299008,46159999,6717440
28.953181,248986.803902,46143999,7208960
29.706728,234398.079789,46127999,6963200
29.929950,224438.731104,46083999,6717440
30.159899,217295.157388,46083999,6553600
31.513599,207961.013910,46851999,6553600
30.269516,235452.724120,46835999,7127040
31.082885,208207.185401,46843999,6471680
31.991683,194610.580506,46839999,6225920
30.707309,232095.883101,46843999,7127040
29.918477,251905.870743,46803999,7536640
29.931182,254535.888359,46779999,7618560
31.134913,213121.520526,46795999,6635520
22.509999,43671.259159,46795999,983040
30.462022,233964.770953,46783999,7127040
30.450804,234050.962989,46799999,7127040
31.387384,203577.335403,46783999,6389760
30.020504,259236.154063,46747999,7782400
31.228134,233471.522826,46631999,7290880
31.827218,211059.603136,46635999,6717440
31.094775,223934.728584,46663999,6963200
31.927549,205264.738612,46659999,6553600
30.964226,232815.766168,46651999,7208960
31.866549,205657.663150,46651999,6553600
32.393923,199780.681086,46627999,6471680
32.433670,199535.852711,46627999,6471680
31.766775,219197.573565,46631999,6963200
31.049866,237450.300108,46627999,7372800
32.172838,206246.026540,46631999,6635520
32.285349,202989.907280,46631999,6553600
31.381887,232327.648111,46631999,7290880
