rtt,thput,total_time,total_data
0.205333,5984425.299392,2252000,1228800
0.319000,3081630.094044,3728000,983040
23.493999,6973.695708,36391999,163840
12.345333,19907.117937,36867999,245760
5.157999,127057.023470,37611999,655360
4.876599,335971.852514,38439999,1638400
22.020999,14880.342168,37375999,327680
22.970999,14264.943375,38199999,327680
9.117646,152741.179028,40063999,1392640
12.653333,58267.651693,39699999,737280
13.635076,78104.441809,39691999,1064960
12.730666,57913.702237,39659999,737280
14.768615,72109.673114,39667999,1064960
13.773454,65424.402623,39619999,901120
14.824615,71837.278742,39631999,1064960
37.626399,10885.973967,39183999,409600
37.671999,10872.797061,39191999,409600
11.605176,120001.626860,40603999,1392640
10.181904,168958.575921,40515999,1720320
9.786736,159039.745223,40503999,1556480
7.777066,158003.030963,40495999,1228800
2.739249,478496.113351,40551999,1310720
28.273142,20282.146215,39631999,573440
33.071332,14862.419209,39635999,491520
38.257999,12847.509354,40471999,491520
38.471999,6388.022624,40467999,245760
38.263999,10704.578996,40471999,409600
38.465599,10648.475798,40459999,409600
38.735199,10574.361577,40467999,409600
9.730588,143119.819686,41955999,1392640
14.974444,98471.769636,41967999,1474560
11.307999,159377.446001,41983999,1802240
15.013777,98213.793904,41987999,1474560
11.354104,137085.233674,41915999,1556480
10.475789,148578.784853,41919999,1556480
12.807999,140712.065952,41935999,1802240
11.134221,132434.949872,41959999,1474560
10.370856,165880.232066,41963999,1720320
9.422399,173883.530086,41971999,1638400
5.416499,241986.567338,41983999,1310720
15.657999,94172.952751,41695999,1474560
5.158908,174672.624517,41711999,901120
14.177249,92452.350946,41691999,1310720
15.055293,92501.686948,41655999,1392640
16.449713,69720.365334,41655999,1146880
14.504999,90363.329222,41659999,1310720
12.851076,82869.325495,41643999,1064960
18.454285,62147.083997,41687999,1146880
23.522799,34825.787526,41687999,819200
24.995635,36051.094521,41691999,901120
21.558666,34198.776492,41707999,737280
16.806999,58489.918396,41711999,983040
22.321999,44039.066573,41719999,983040
19.742999,49791.827473,41727999,983040
29.121777,25317.136382,41271999,737280
27.270399,15019.948920,41227999,409600
33.868999,19349.848515,41235999,655360
32.130221,22946.620878,41247999,737280
32.221332,22881.735615,41255999,737280
32.312443,22817.216266,41267999,737280
32.461332,22712.561518,41275999,737280
33.559999,12205.006323,41271999,409600
35.621999,18397.619965,41279999,655360
36.234856,15825.645892,41291999,573440
37.381999,17531.432709,41307999,655360
38.159999,17174.004643,41299999,655360
39.026399,10495.459753,41311999,409600
46.456265,105802.737263,58467999,4915200
38.814888,151958.186766,59767999,5898240
37.378665,164371.841530,59771999,6144000
40.091883,140988.139669,59351999,5652480
40.273874,130180.672463,59355999,5242880
40.785216,138591.395470,59323999,5652480
41.121057,135467.334899,59303999,5570560
45.740064,109250.393703,58815999,4997120
45.761805,110988.629054,58815999,5079040
40.776460,208936.234288,65155999,8519680
41.373229,205922.530243,65283999,8519680
41.911845,203276.186004,65395999,8519680
43.373528,192648.382211,65563999,8355840
43.345271,83157.399108,65099999,3604480
42.988817,83846.922329,65103999,3604480
42.937785,196511.301177,65575999,8437760
44.103691,193173.854769,65719999,8519680
44.779460,190258.658769,65831999,8519680
42.253887,139590.471286,65671999,5898240
29.431293,47318.342419,65675999,1392640
45.751921,184424.168769,65887999,8437760
46.050126,167219.520746,65771999,7700480
45.871268,185730.204798,65839999,8519680
46.843119,174881.608545,65847999,8192000
49.378152,172539.466443,65771999,8519680
50.089489,166818.232065,65807999,8355840
50.679253,164876.936919,65799999,8355840
51.107105,165099.549270,65779999,8437760
51.236922,166280.089971,65767999,8519680
51.444775,164015.879164,65767999,8437760
51.653057,161768.547407,65787999,8355840
51.916508,160947.650793,65791999,8355840
52.126098,158728.934592,65799999,8273920
34.285333,14336.159430,36248000,491520
13.905333,88368.973257,37416000,1228800
13.758500,95266.199077,37212000,1310720
12.294200,133266.092954,37868000,1638400
14.221333,69124.321890,37604000,983040
18.830769,56554.249059,38172000,1064960
17.368000,61317.365269,38004000,1064960
18.859272,47781.271727,37952000,901120
23.783692,44776.900071,37932000,1064960
21.352800,19182.495972,37904000,409600
16.330181,110362.524457,38600000,1802240
20.033777,73603.694401,38356000,1474560
17.497818,51498.992617,38416000,901120
19.067692,55851.541970,38352000,1064960
35.427428,16186.328852,37888000,573440
35.731200,11463.370948,37872000,409600
19.639294,70910.899343,39088000,1392640
35.339555,20862.741480,38440000,737280
35.810222,20588.534749,38440000,737280
45.757591,184401.316057,73759999,8437760
46.315293,180412.115713,73947999,8355840
46.880856,171246.019911,73919999,8028160
47.229575,171716.133376,73915999,8110080
48.175257,164944.423649,73919999,7946240
47.869591,167708.974159,73895999,8028160
48.269442,164622.578401,73911999,7946240
46.921920,178079.669374,73903999,8355840
48.188366,166599.548115,73907999,8028160
46.788276,176837.462445,73903999,8273920
46.965214,177915.509977,73759999,8355840
49.759707,158045.946693,73919999,7864320
47.997199,170676.626359,74135999,8192000
47.159167,175446.695231,74095999,8273920
46.693691,182458.910777,74103999,8519680
47.217037,180436.565725,74291999,8519680
47.832845,178113.595376,74275999,8519680
51.261063,150220.841109,74231999,7700480
49.307444,167802.654707,74187999,8273920
48.415845,175968.838301,74395999,8519680
22.985333,42768.142624,74359999,983040
48.674537,175033.611516,74339999,8519680
48.695533,173275.852633,74343999,8437760
50.231060,159824.618473,74339999,8028160
50.798415,154814.279146,74311999,7864320
50.071595,161969.675621,74331999,8110080
51.898188,149955.139089,74491999,7782400
50.931312,159235.638776,74459999,8110080
22.473866,54676.841092,74459999,1228800
50.409799,162508.086969,74455999,8192000
49.585685,168513.150519,74455999,8355840
50.237293,166327.433287,74451999,8355840
50.492399,162242.241649,74455999,8192000
50.494080,158992.103629,74451999,8028160
51.027029,158936.943007,74451999,8110080
50.203920,166437.999264,74447999,8355840
52.506188,148218.720430,74447999,7782400
50.771167,162964.936378,74451999,8273920
51.374100,157863.203443,74451999,8110080
50.937159,160825.616521,74455999,8192000
51.007754,157390.972361,74439999,8028160
52.096452,152529.389142,74451999,7946240
50.131371,166678.864618,74451999,8355840
51.949101,154538.959202,74495999,8028160
51.704246,153686.410977,74491999,7946240
50.677293,164883.313716,74743999,8355840
51.428359,159289.546843,74531999,8192000
25.752249,50897.302212,74519999,1310720
23.417111,62969.338959,74491999,1474560
53.602665,142130.246696,74499999,7618560
50.028730,170295.748063,74487999,8519680
50.212698,168040.363017,74479999,8437760
50.521424,163770.522383,74471999,8273920
52.997874,148389.348599,74511999,7864320
50.676698,166501.771682,74535999,8437760
50.934705,164050.032291,74511999,8355840
52.585835,152667.728867,74507999,8028160
52.675019,152409.247351,74507999,8028160
51.379960,162628.386632,74499999,8355840
51.187960,164838.762865,74507999,8437760
53.543215,148407.972887,74503999,7946240
51.172114,166490.678888,74527999,8519680
55.945835,143498.796649,74343999,8028160
54.427114,156533.745295,74303999,8519680
55.727797,145530.245884,74315999,8110080
55.524519,147538.423521,74323999,8192000
54.803383,155459.016098,74299999,8519680
55.178979,151431.580494,74291999,8355840
55.374771,149416.780432,74315999,8273920
55.389464,149377.145083,74319999,8273920
55.373424,149420.415107,74319999,8273920
54.795460,155481.494270,74315999,8519680
55.188268,154374.839232,74315999,8519680
55.390216,149375.117078,74295999,8273920
55.363999,152405.175789,74331999,8437760
55.235691,154242.299603,74319999,8519680
55.923959,146484.622092,74319999,8192000
55.862251,151045.828783,74295999,8437760
55.362368,152409.665714,74315999,8437760
55.210960,154311.390347,74319999,8519680
55.590691,153257.314251,74299999,8519680
