rtt,thput,total_time,total_data
0.003572,2362194848.824188,7944000,8437760
0.004077,2069600196.222713,7924000,8437760
0.004000,2109440000.000000,7936000,8437760
0.004000,2068480000.000000,7932000,8273920
0.003384,2517635933.806147,7952000,8519680
0.003423,2488951212.386796,7960000,8519680
0.003689,2287275684.467335,7960000,8437760
0.003538,2408049745.618994,7952000,8519680
0.003500,2434194285.714286,7960000,8519680
0.003692,2307605633.802817,7948000,8519680
0.003576,2382460850.111857,7984000,8519680
0.003346,2546228332.337119,7972000,8519680
0.003461,2461623808.147934,7972000,8519680
0.004000,2129920000.000000,7940000,8519680
0.003533,2388270591.565242,7960000,8437760
0.003764,2219936238.044633,7964000,8355840
0.003805,2217545335.085414,7968000,8437760
0.003615,2356757952.973721,7972000,8519680
0.003640,2250549450.549450,7960000,8192000
0.003346,2546228332.337119,7988000,8519680
0.003576,2382460850.111857,7932000,8519680
0.003423,2488951212.386796,7936000,8519680
0.003378,2497856719.952635,7988000,8437760
0.004680,1750427350.427350,7928000,8192000
0.004627,1805887183.920467,7940000,8355840
0.003884,2193532440.782698,7944000,8519680
0.004549,1836852055.396791,7928000,8355840
0.003689,2287275684.467335,7936000,8437760
0.003766,2240509824.747743,7932000,8437760
0.004040,2027722772.277228,7936000,8192000
0.003533,2388270591.565242,7952000,8437760
0.003883,2173000257.532835,7960000,8437760
0.003920,2110693877.551020,7928000,8273920
0.003692,2307605633.802817,7984000,8519680
0.003500,2434194285.714286,7960000,8519680
0.003538,2408049745.618994,7940000,8519680
0.003884,2193532440.782698,7936000,8519680
0.004038,2109876176.324913,7972000,8519680
0.003524,2347877412.031782,7980000,8273920
0.003805,2217545335.085414,7980000,8437760
