rtt,thput,total_time,total_data
0.005384,1582407132.243685,7944000,8519680
0.006099,1356602721.757665,7924000,8273920
0.004666,1790792970.424346,7940000,8355840
0.005386,1536190122.539918,7932000,8273920
0.006192,1375917312.661499,7972000,8519680
0.005398,1563127084.105224,7964000,8437760
0.004163,1928455440.787893,7932000,8028160
0.004783,1661350616.767719,7952000,7946240
0.004815,1752390446.521288,7948000,8437760
0.004606,1760764220.581850,7956000,8110080
0.005941,1420259215.620266,7984000,8437760
0.005875,1338607659.574468,7924000,7864320
0.004291,1832747611.279422,7960000,7864320
0.008196,1019502196.193265,7928000,8355840
0.005961,1429236705.250797,7960000,8519680
0.005473,1421962360.679700,7928000,7782400
0.004408,1821270417.422868,7896000,8028160
0.004723,1630421342.367140,7956000,7700480
0.003764,2219936238.044633,7976000,8355840
0.004198,1970919485.469271,7940000,8273920
0.004120,1988349514.563107,7952000,8192000
0.004480,1828571428.571429,7976000,8192000
0.007795,1029911481.719051,7980000,8028160
0.004480,1828571428.571429,7992000,8192000
0.003692,2307605633.802817,7976000,8519680
0.004846,1758085018.572018,7920000,8519680
0.004077,2069600196.222713,7956000,8437760
0.004582,1841501527.717154,7944000,8437760
0.004077,2069600196.222713,7972000,8437760
0.004776,1766700167.504188,7932000,8437760
0.004500,1893262222.222222,7972000,8519680
0.004500,1893262222.222222,7948000,8519680
0.004116,2049990281.827017,7976000,8437760
0.004313,1937361465.337352,7956000,8355840
0.004693,1710666950.777754,7944000,8028160
0.003958,1986942900.454775,7952000,7864320
0.004078,2049004413.928396,7976000,8355840
0.004077,2069600196.222713,7984000,8437760
0.004730,1801200845.665962,7948000,8519680
0.004615,1846084507.042253,7936000,8519680
0.004880,1678688524.590164,7919999,8192000
0.004041,1966404355.357585,7951999,7946240
0.004961,1717331183.229188,7943999,8519680
0.005240,1563358778.625954,7907999,8192000
0.005592,1508898426.323319,7963999,8437760
0.004594,1801027427.078799,7955999,8273920
0.004237,1952777908.897805,7931999,8273920
0.005212,1556039907.904835,7935999,8110080
0.005131,1580604170.726954,7907999,8110080
0.004078,2049004413.928396,7999999,8355840
0.004448,1804892086.330935,7927999,8028160
0.004923,1730587040.422507,7943999,8519680
0.004699,1795650138.327304,7943999,8437760
0.005106,1508123775.949863,7863999,7700480
0.004660,1810678111.587983,7943999,8437760
0.003339,2527032045.522612,7991999,8437760
0.004520,1812389380.530974,7903999,8192000
0.004404,1841525885.558583,7959999,8110080
0.004080,2007843137.254902,7959999,8192000
0.005400,1517037037.037037,7963999,8192000
0.004871,1698608088.688154,7927999,8273920
0.005137,1626599182.402180,7943999,8355840
0.004857,1652905085.443689,7939999,8028160
0.004475,1848920670.391062,7935999,8273920
0.004565,1776578313.253012,7943999,8110080
0.004862,1718601398.601399,7939999,8355840
0.004313,1937361465.337352,7947999,8355840
0.003959,2048517302.349078,7951999,8110080
0.004235,1973043683.589138,7951999,8355840
0.004316,1917034291.010195,7975999,8273920
0.004538,1877408550.022036,7955999,8519680
0.003800,2155789473.684210,7959999,8192000
0.004367,1838369590.107625,7943999,8028160
0.004752,1741144781.144781,7971999,8273920
0.004554,1816846728.151076,7947999,8273920
0.004444,1824950495.049505,7963999,8110080
0.004404,1841525885.558583,7975999,8110080
0.004444,1824950495.049505,7963999,8110080
0.004745,1760977871.443625,7979999,8355840
0.004115,2070396111.786148,7951999,8519680
