rtt,thput,total_time,total_data
0.100564,69241478.063721,8200000,6963200
0.117135,51752934.648056,8228000,6062080
0.089234,86295358.271511,8444000,7700480
0.112459,63374563.174135,8144000,7127040
0.090876,80228883.313526,8208000,7290880
0.135829,56692458.900529,8432000,7700480
0.097274,76636305.693197,8428000,7454720
0.140833,55841457.612917,8504000,7864320
0.133896,59346358.367688,8468000,7946240
0.125409,57483593.681474,8572000,7208960
0.157306,51035306.981298,8540000,8028160
0.112592,58934204.916868,8488000,6635520
0.167652,44954071.529120,8536000,7536640
0.119604,62328350.222401,8464000,7454720
0.153346,55558540.816193,8620000,8519680
0.122612,65476136.104133,8604000,8028160
0.151659,50774962.250839,8388000,7700480
0.163064,38683216.405828,8456000,6307840
0.157372,53096103.499987,8620000,8355840
0.148311,42531167.614000,8456000,6307840
0.141183,56863503.396301,8388000,8028160
0.151192,56350071.432351,8580000,8519680
0.172194,49001475.080433,8356000,8437760
0.129721,49889223.795685,8408000,6471680
0.162613,50881048.870631,8612000,8273920
0.126816,63305576.583396,8596000,8028160
0.193238,35610387.190925,8408000,6881280
0.165791,47435144.247878,8488000,7864320
0.157148,49001450.861608,8600000,7700480
0.143257,55468423.881556,8520000,7946240
0.133484,59529531.629259,8556000,7946240
0.143840,56952169.076752,8520000,8192000
0.156307,54506068.186326,8520000,8519680
0.138720,59054209.919262,8632000,8192000
0.165443,48030076.824042,8372000,7946240
0.187483,40636004.331059,8460000,7618560
0.106574,66874096.871657,8456000,7127040
0.171393,47318618.613362,8504000,8110080
0.156392,53428819.888485,8424000,8355840
0.155360,52729145.211123,8524000,8192000
0.163490,51109180.989663,8448000,8355840
0.139485,59317632.720364,8540000,8273920
0.188087,39634424.495048,8388000,7454720
0.170153,50070701.074915,8440000,8519680
0.155145,54386283.799027,8488000,8437760
0.155168,53322334.501959,8620000,8273920
0.143625,54755926.892950,8404000,7864320
0.162846,52317404.173268,8456000,8519680
0.169137,49402791.819649,8332000,8355840
0.105234,73174829.427751,8356000,7700480
0.116808,62417642.627217,8420000,7290880
0.152164,52221550.432428,8332000,7946240
0.139600,41077363.896848,8452000,5734400
0.171145,49301820.094072,8468000,8437760
0.151480,54079746.501188,8404000,8192000
0.164888,49185386.444132,8360000,8110080
0.136000,55416470.588235,8328000,7536640
0.170534,48517714.942475,8340000,8273920
0.181281,46545197.786861,8364000,8437760
0.184950,44735982.698026,8344000,8273920
0.009941,848783824.564933,7916000,8437760
0.009560,856903765.690377,7936000,8192000
0.007632,1051907756.813417,7920000,8028160
0.009333,842635808.421729,7944000,7864320
0.010769,791130095.644907,7948000,8519680
0.009252,876575875.486381,7976000,8110080
0.005960,1374496644.295302,7952000,8192000
0.008000,1024000000.000000,7968000,8192000
0.010930,756991765.782251,7956000,8273920
0.008680,943778801.843318,7968000,8192000
0.008204,978566552.901024,7956000,8028160
0.009372,891574903.969270,7960000,8355840
0.008701,913255947.592231,7956000,7946240
0.009825,858805089.058524,7968000,8437760
0.009461,900505232.005073,7960000,8519680
0.008831,936917676.367342,7936000,8273920
0.009333,895300546.448087,7956000,8355840
0.009400,871489361.702128,7924000,8192000
0.007207,1148039406.132926,7984000,8273920
0.011560,708650519.031142,7964000,8192000
0.007423,1147740805.604203,7936000,8519680
0.008466,996664304.275927,7940000,8437760
0.006000,1365333333.333333,7924000,8192000
0.006640,1270746987.951807,7920000,8437760
0.007191,1013889584.202475,7940000,7290880
0.007175,1107489895.470383,7952000,7946240
0.004646,1745604821.351700,7952000,8110080
0.005306,1513034300.791557,7932000,8028160
0.006291,1341243045.620728,7940000,8437760
0.005568,1500689655.172414,7964000,8355840
0.007387,1086795722.214701,7956000,8028160
0.007480,1095187165.775401,7952000,8192000
0.006470,1291474497.681607,7932000,8355840
0.006705,1246210290.827740,7972000,8355840
0.005320,1539849624.060150,7864000,8192000
0.005980,1410996655.518395,7964000,8437760
0.004549,1836852055.396791,7964000,8355840
0.006226,1276299389.656280,7968000,7946240
0.005747,1468202540.455890,7964000,8437760
0.005514,1530243017.772942,7952000,8437760
0.005576,1527919655.667145,7960000,8519680
0.007184,1174521158.129176,7904000,8437760
0.006346,1342527576.426095,7932000,8519680
0.005750,1367707826.086957,7920000,7864320
0.005360,1528358208.955224,7952000,8192000
0.006653,1206697730.347212,7936000,8028160
0.005730,1486855148.342059,7948000,8519680
0.006204,1294029658.284977,7936000,8028160
0.006226,1276299389.656280,7908000,7946240
0.006625,1187067169.811321,7956000,7864320
0.006280,1304458598.726115,7932000,8192000
0.005846,1457352035.579884,7972000,8519680
0.005696,1423820224.719101,7964000,8110080
0.006436,1107371037.911747,7948000,7127040
0.006615,1287933484.504913,7960000,8519680
0.006120,1338562091.503268,7940000,8192000
0.006213,1358081442.137454,7956000,8437760
0.007346,1092861421.181595,7920000,8028160
0.006058,1392829316.606141,7956000,8437760
0.005500,1549032727.272727,7980000,8519680
