rtt,thput,total_time,total_data
4.566181,394693.070643,18939999,1802240
6.817249,384530.475563,19607999,2621440
7.901856,290281.169386,19267999,2293760
7.463618,230494.111569,19379999,1720320
8.566922,248621.383503,19231999,2129920
8.310255,384450.296652,21003999,3194880
9.414209,330666.123941,20991999,3112960
6.045043,311686.782046,21295999,1884160
8.459618,203356.700031,21271999,1720320
7.343285,312361.565703,21275999,2293760
9.259537,230024.460186,21087999,2129920
9.372097,358374.438506,21519999,3358720
5.684799,360258.999483,21531999,2048000
7.333749,357448.830059,21535999,2621440
18.490637,416452.932368,35935999,7700480
17.843614,477463.814225,35971999,8519680
18.097142,443614.798403,35935999,8028160
18.267332,457419.835584,36027999,8355840
19.013734,357602.562442,36007999,6799360
18.500548,451653.648314,36007999,8355840
18.817915,417916.650171,36007999,7864320
18.397978,431908.332535,36007999,7946240
18.341999,419827.740695,36003999,7700480
18.908570,394250.860853,35983999,7454720
18.896207,416185.110589,35983999,7864320
18.483159,443214.279550,36083999,8192000
18.771279,436411.392106,36123999,8192000
10.254719,199712.932163,36091999,2048000
19.494807,395001.602222,36087999,7700480
9.736189,353386.730681,36051999,3440640
18.438256,448736.583330,36087999,8273920
18.663484,443321.300567,36031999,8273920
19.012807,405015.419343,36047999,7700480
18.734832,419769.977121,36047999,7864320
19.442635,370781.018108,36047999,7208960
19.229590,374888.908188,36043999,7208960
19.909034,349750.771434,36043999,6963200
19.316042,394416.205970,36047999,7618560
19.603233,392816.837916,36043999,7700480
20.128464,350007.829708,36047999,7045120
19.547317,368795.369717,36043999,7208960
19.498352,357117.360483,36119999,6963200
19.476169,395379.604685,36119999,7700480
19.265170,420971.110040,36123999,8110080
19.899870,382844.712051,36103999,7618560
19.591504,372144.986929,36099999,7290880
19.118109,389929.778097,36103999,7454720
19.192807,401216.976756,36119999,7700480
9.735272,277687.156558,36119999,2703360
18.941741,436808.844551,36107999,8273920
19.155010,380625.225463,36103999,7290880
19.594111,372095.472971,36103999,7290880
19.604999,384424.401144,36107999,7536640
20.067575,346987.615594,36099999,6963200
19.393346,413964.666025,36103999,8028160
18.794312,444594.087828,36103999,8355840
19.048378,408559.720938,36079999,7782400
19.083499,446442.237873,36099999,8519680
19.050872,442906.760383,36083999,8437760
20.125148,354136.029211,36055999,7127040
19.542540,402420.565597,36083999,7864320
19.435763,429920.862896,35999999,8355840
19.457557,399967.991871,36075999,7782400
19.617212,371657.297683,36083999,7290880
6.367599,257302.634792,36031999,1638400
20.627401,345513.232617,36035999,7127040
19.640737,429605.060136,36019999,8437760
20.163224,377844.336799,36023999,7618560
19.497086,432770.312446,36115999,8437760
19.565018,427080.619093,36035999,8355840
20.038999,359746.512288,36035999,7208960
20.306778,383241.497002,35995999,7782400
19.702216,419948.700187,36011999,8273920
20.048080,400445.329428,35995999,8028160
20.790066,350690.565388,35995999,7290880
11.041523,155804.593261,35963999,1720320
19.603450,426243.339820,36047999,8355840
20.269851,383939.674742,36031999,7782400
