rtt,thput,total_time,total_data
0.781199,1048644.455510,8475999,819200
6.854285,83661.534354,27283999,573440
9.193999,53460.958610,27855999,491520
8.443799,194035.883611,30855999,1638400
19.902285,28812.772001,30143999,573440
14.105332,34846.397093,30095999,491520
7.527293,185012.062105,31555999,1392640
6.615799,247649.603623,31391999,1638400
15.590908,57797.788301,30607999,901120
21.297777,34617.697424,30571999,737280
8.948959,228853.434237,32047999,2048000
7.558153,281804.297955,32043999,2129920
11.069142,155415.839818,31795999,1720320
6.023777,244789.938273,31763999,1474560
19.640399,41709.946931,31047999,819200
11.395110,194104.313166,33511999,2211840
11.236266,218720.347133,33711999,2457600
11.597066,211915.669015,34715999,2457600
24.471999,43517.491154,33799999,1064960
27.835671,179522.167797,52211999,4997120
27.268826,174241.457993,52223999,4751360
28.177960,148269.072708,52223999,4177920
28.905761,167208.190782,52091999,4833280
30.908962,143119.655717,52059999,4423680
29.855033,159147.705514,52047999,4751360
34.484679,111650.742059,51383999,3850240
28.921240,164286.178601,52039999,4751360
29.010344,163781.580804,52027999,4751360
29.998806,155654.195037,52031999,4669440
33.958079,120619.308295,51411999,4096000
33.997332,122889.643223,51387999,4177920
35.796694,105270.056503,51387999,3768320
34.153803,122326.641048,51387999,4177920
34.735264,115562.098506,51371999,4014080
35.087488,109732.563357,51371999,3850240
34.815599,117648.413862,51327999,4096000
35.443999,110940.077614,51303999,3932160
35.434039,113283.162555,51339999,4014080
36.576781,103024.921739,51339999,3768320
35.512499,110726.085483,51307999,3932160
36.695821,100458.305593,51315999,3686400
35.375672,113470.070618,51315999,4014080
36.478781,103301.697499,51319999,3768320
37.223021,99035.486668,51323999,3686400
36.438694,103415.341944,51327999,3768320
35.607332,110431.188723,51335999,3932160
35.497794,113079.702925,51347999,4014080
37.301954,98825.922095,51351999,3686400
35.531835,112971.367789,51351999,4014080
35.720415,110081.587798,51351999,3932160
36.490882,96532.607790,51363999,3522560
37.165952,94779.221584,51363999,3522560
