rtt,thput,total_time,total_data
42.647576,199769.384314,65175999,8519680
42.621576,199891.247569,65175999,8519680
42.656114,199729.398698,65171999,8519680
42.633960,199833.184626,65171999,8519680
42.800037,199057.771843,65171999,8519680
42.904691,198572.226053,65159999,8519680
42.898999,198598.573361,65131999,8519680
42.880345,198684.968603,65143999,8519680
42.909114,198551.757559,65139999,8519680
43.361537,196480.120158,65227999,8519680
43.385691,196370.734305,65199999,8519680
43.275268,196871.802157,65191999,8519680
43.248960,196991.557716,65159999,8519680
43.396845,196320.262452,65131999,8519680
43.990999,193668.709365,65151999,8519680
43.565306,195561.119208,65159999,8519680
43.772037,194637.503391,65255999,8519680
43.738768,194785.550430,65239999,8519680
43.744422,194760.374248,65187999,8519680
43.843537,194320.088728,65167999,8519680
44.042499,193442.247680,65103999,8519680
44.026537,193512.380953,65095999,8519680
44.025075,193518.807180,65079999,8519680
44.047999,193418.093748,65075999,8519680
44.049729,193410.497486,65075999,8519680
44.064806,193344.321089,65071999,8519680
44.350806,192097.523549,65107999,8519680
44.452960,191656.078695,65107999,8519680
44.326075,192204.701183,65115999,8519680
44.357383,192069.040683,65103999,8519680
44.427729,191764.922308,65095999,8519680
44.440268,191710.815065,65091999,8519680
44.364845,192036.735393,65099999,8519680
44.640152,190852.396739,65047999,8519680
45.049306,189119.006628,65127999,8519680
44.959499,189496.773529,65071999,8519680
44.939691,189580.297737,65071999,8519680
45.099345,188909.173736,65075999,8519680
44.945883,189554.180079,65075999,8519680
45.193537,188515.450782,65019999,8519680
45.041460,189151.950225,65071999,8519680
45.139114,188742.738725,65023999,8519680
45.208460,188453.223136,65043999,8519680
45.233614,188348.426018,65015999,8519680
45.555191,187018.862461,65055999,8519680
45.499575,187247.463300,65047999,8519680
45.657806,186598.541332,65003999,8519680
45.556806,187012.232596,65043999,8519680
45.728845,186308.663602,64995999,8519680
45.757729,186191.058564,64995999,8519680
46.348152,183819.195208,64955999,8519680
46.111383,184763.055144,64971999,8519680
45.772075,186132.702090,64995999,8519680
46.102383,184799.124158,64971999,8519680
46.179460,184490.680489,64947999,8519680
46.082268,184879.789337,64971999,8519680
46.141729,184641.542149,64963999,8519680
45.735345,186282.185037,64995999,8519680
45.801268,186014.064065,64983999,8519680
47.446845,179562.624238,64791999,8519680
49.440922,172320.411015,64351999,8519680
47.378729,179820.779912,64795999,8519680
47.324922,180025.230681,64811999,8519680
46.311922,183962.997692,64951999,8519680
46.649229,182632.814789,64903999,8519680
46.704729,182415.789202,64899999,8519680
46.714691,182376.888675,64883999,8519680
46.741114,182273.790051,64879999,8519680
46.797922,182052.527888,64867999,8519680
46.776191,182137.104751,64879999,8519680
46.827037,181939.335602,64863999,8519680
46.788922,182087.546279,64871999,8519680
46.815114,181985.672405,64867999,8519680
46.931383,181534.816479,64843999,8519680
47.296845,180132.099720,64811999,8519680
47.287691,180166.969878,64815999,8519680
47.420652,179661.806421,64787999,8519680
47.337268,179978.278425,64807999,8519680
47.403652,179726.237126,64791999,8519680
47.343422,179954.883701,64807999,8519680
47.410268,179701.156720,64791999,8519680
47.479806,179437.969902,64783999,8519680
49.718345,171358.881717,64331999,8519680
49.706191,171400.781846,64335999,8519680
49.446191,172302.048504,64351999,8519680
49.732883,171308.789800,64331999,8519680
49.772922,171170.983291,64315999,8519680
49.741345,171279.646741,64327999,8519680
49.749422,171251.838866,64323999,8519680
49.760114,171215.041830,64315999,8519680
28.472961,299220.021409,53407999,8519680
28.486153,299081.451960,53399999,8519680
28.496038,298977.703497,53399999,8519680
28.497923,298957.927565,53387999,8519680
28.579807,298101.383260,53367999,8519680
28.607307,297814.820528,53367999,8519680
28.628692,297592.359441,53363999,8519680
28.682423,297034.877423,53355999,8519680
28.697884,296874.849728,53359999,8519680
28.716884,296678.427924,53351999,8519680
28.706307,296787.740757,53355999,8519680
28.707499,296775.417461,53347999,8519680
28.998999,293792.209862,53431999,8519680
28.988653,293897.063793,53419999,8519680
28.999346,293788.694407,53415999,8519680
29.023346,293545.754511,53411999,8519680
29.083730,292936.291184,53387999,8519680
29.187692,291892.897869,53371999,8519680
29.465961,289136.335991,53447999,8519680
29.448846,289304.375458,53447999,8519680
29.499615,288806.481034,53447999,8519680
29.436961,289421.180400,53443999,8519680
29.580269,288019.017001,53431999,8519680
29.606461,287764.214710,53403999,8519680
29.643038,287409.138024,53375999,8519680
29.660961,287235.467522,53371999,8519680
29.917384,284773.561753,53471999,8519680
29.849499,285421.205897,53463999,8519680
30.081423,283220.644183,53463999,8519680
29.841653,285496.249152,53447999,8519680
29.854461,285373.767090,53443999,8519680
29.941846,284540.906396,53407999,8519680
29.904461,284896.624621,53411999,8519680
29.924384,284706.946683,53411999,8519680
29.951307,284451.025793,53411999,8519680
29.970230,284271.425344,53407999,8519680
31.230923,272796.292316,53323999,8519680
31.268653,272467.125463,53315999,8519680
31.304423,272155.790893,53303999,8519680
31.340692,271840.838741,53299999,8519680
31.624230,269403.555438,53315999,8519680
35.953769,236962.083169,52835999,8519680
35.601653,239305.742349,52875999,8519680
35.996538,236680.538556,52819999,8519680
36.013384,236569.826373,52815999,8519680
36.005038,236624.663471,52819999,8519680
35.956846,236941.805185,52835999,8519680
35.980576,236785.536730,52835999,8519680
35.976846,236810.086132,52835999,8519680
36.067269,236216.387773,52807999,8519680
36.083499,236110.139984,52803999,8519680
36.058576,236273.334809,52811999,8519680
36.012807,236573.616714,52819999,8519680
36.021230,236518.297682,52823999,8519680
36.190538,235411.808468,52779999,8519680
36.449423,233739.776896,52763999,8519680
36.125153,235837.893891,52803999,8519680
36.433769,233840.204674,52767999,8519680
36.123269,235850.193957,52799999,8519680
36.087807,236081.954218,52803999,8519680
36.098269,236013.532948,52803999,8519680
36.110769,235931.835182,52803999,8519680
36.111999,235923.799178,52799999,8519680
36.519923,233288.553210,52747999,8519680
36.541999,233147.617348,52743999,8519680
36.507692,233366.710774,52751999,8519680
36.558269,233043.856644,52731999,8519680
36.471499,233598.295480,52759999,8519680
36.487346,233496.840247,52755999,8519680
36.595961,232803.833188,52727999,8519680
36.608538,232723.852561,52723999,8519680
36.596153,232802.611794,52727999,8519680
36.619192,232656.143806,52723999,8519680
36.629615,232589.941227,52723999,8519680
36.678807,232278.001844,52715999,8519680
36.687615,232222.236305,52715999,8519680
36.662922,232378.641288,52723999,8519680
36.913346,230802.160281,52707999,8519680
36.903615,230863.019788,52707999,8519680
36.919461,230763.932334,52707999,8519680
36.914846,230792.781853,52707999,8519680
36.916307,230783.647996,52711999,8519680
36.944307,230608.737633,52703999,8519680
36.932576,230681.986548,52703999,8519680
36.941346,230627.221867,52703999,8519680
36.955692,230537.693625,52703999,8519680
37.113076,229560.061257,52655999,8519680
36.955538,230538.654315,52703999,8519680
36.961615,230500.750576,52703999,8519680
37.109423,229582.658830,52655999,8519680
