rtt,thput,total_time,total_data
0.004884,1744406224.406224,7928000,8519680
0.004576,1861818181.818182,7916000,8519680
0.005153,1653343683.291287,7928000,8519680
0.004576,1861818181.818182,7976000,8519680
0.004846,1758085018.572018,7960000,8519680
0.005038,1691083763.398174,7932000,8519680
0.004115,2070396111.786148,7972000,8519680
0.004692,1815788576.300085,7924000,8519680
0.004153,2051451962.436793,7952000,8519680
0.005000,1703936000.000000,7956000,8519680
0.004653,1831007951.859016,7956000,8519680
0.004192,2032366412.213740,7968000,8519680
0.005192,1640924499.229584,7940000,8519680
0.005576,1527919655.667145,7972000,8519680
0.005692,1496781447.645819,7956000,8519680
0.004730,1801200845.665962,7924000,8519680
0.004730,1801200845.665962,7948000,8519680
0.004423,1926222021.252544,7952000,8519680
0.004730,1801200845.665962,7944000,8519680
0.004653,1831007951.859016,7944000,8519680
0.004269,1995708596.861091,7992000,8519680
0.005153,1653343683.291287,7956000,8519680
0.004461,1909813943.062094,7956000,8519680
0.005423,1571027106.767472,7924000,8519680
0.004923,1730587040.422507,7932000,8519680
0.004884,1744406224.406224,7932000,8519680
0.004846,1758085018.572018,7964000,8519680
0.005038,1691083763.398174,7916000,8519680
0.004538,1877408550.022036,7948000,8519680
0.004692,1815788576.300085,7932000,8519680
0.005192,1640924499.229584,7948000,8519680
0.004884,1744406224.406224,7960000,8519680
0.005423,1571027106.767472,7952000,8519680
0.004230,2014108747.044917,7964000,8519680
0.004500,1893262222.222222,7964000,8519680
0.005423,1571027106.767472,7968000,8519680
0.006538,1303101866.014071,7956000,8519680
0.005846,1457352035.579884,7936000,8519680
0.004923,1730587040.422507,7972000,8519680
0.005653,1507107730.408633,8008000,8519680
0.005269,1616944391.725185,7924000,8519680
0.005423,1571027106.767472,7936000,8519680
0.004576,1861818181.818182,7936000,8519680
0.004653,1831007951.859016,7936000,8519680
0.004769,1786470958.272175,7944000,8519680
0.004807,1772348658.206782,7952000,8519680
0.004884,1744406224.406224,7960000,8519680
0.005884,1447940176.750510,7948000,8519680
0.004769,1786470958.272175,7972000,8519680
0.005230,1629001912.045889,7940000,8519680
0.005269,1616944391.725185,7944000,8519680
0.006000,1419946666.666667,7940000,8519680
0.005192,1640924499.229584,7936000,8519680
0.004846,1758085018.572018,7932000,8519680
0.005500,1549032727.272727,7944000,8519680
0.004307,1978100766.194567,7964000,8519680
0.004961,1717331183.229188,7968000,8519680
0.004769,1786470958.272175,7936000,8519680
0.004192,2032366412.213740,7968000,8519680
0.005192,1640924499.229584,7940000,8519680
0.005961,1429236705.250797,7944000,8519680
0.004076,2090206084.396467,7936000,8519680
0.005807,1467139659.032202,7920000,8519680
0.005884,1447940176.750510,7956000,8519680
0.005038,1691083763.398174,7944000,8519680
0.004961,1717331183.229188,7956000,8519680
0.004807,1772348658.206782,7960000,8519680
0.005076,1678423955.870764,7968000,8519680
0.004653,1831007951.859016,7956000,8519680
0.004346,1960349746.893695,7972000,8519680
0.004692,1815788576.300085,7952000,8519680
0.005769,1476803605.477552,7944000,8519680
0.005000,1703936000.000000,7960000,8519680
0.005923,1438406213.067702,7924000,8519680
0.004538,1877408550.022036,7940000,8519680
0.004923,1730587040.422507,7964000,8519680
0.004500,1893262222.222222,7960000,8519680
0.004923,1730587040.422507,7996000,8519680
0.004961,1717331183.229188,7988000,8519680
0.005346,1593655069.210625,8020000,8519680
